date,region_id,scope,sector,band_low_m,band_high_m,band_mid_m,n_valid,n_wet,f_wet,f_wet_smooth,above_crossing_fraction,crossing_fraction,sector_relative_threshold_fraction,below_sector_relative_threshold
2023-06-08,,basin,,1900.0,2000.0,1950.0,42,0,0.0,0.0,False,0.5,,
2023-06-08,,basin,,2000.0,2100.0,2050.0,119,0,0.0,0.0,False,0.5,,
2023-06-08,,basin,,2100.0,2200.0,2150.0,147,0,0.0,0.0,False,0.5,,
2023-06-08,,basin,,2200.0,2300.0,2250.0,211,0,0.0,0.0,False,0.5,,
2023-06-08,,basin,,2300.0,2400.0,2350.0,286,0,0.0,0.0,False,0.5,,
2023-06-08,,basin,,2400.0,2500.0,2450.0,363,0,0.0,0.0,False,0.5,,
2023-06-08,,basin,,2500.0,2600.0,2550.0,476,0,0.0,0.0,False,0.5,,
2023-06-08,,basin,,2600.0,2700.0,2650.0,630,72,0.11428571428571428,0.11428571428571428,False,0.5,,
2023-06-08,,basin,,2700.0,2800.0,2750.0,781,337,0.43149807938540335,0.43149807938540335,False,0.5,,
2023-06-08,,basin,,2800.0,2900.0,2850.0,940,785,0.8351063829787234,0.8351063829787234,True,0.5,,
2023-06-08,,basin,,2900.0,3000.0,2950.0,879,829,0.9431171786120591,0.9431171786120591,True,0.5,,
2023-06-08,,basin,,3000.0,3100.0,3050.0,592,571,0.964527027027027,0.964527027027027,True,0.5,,
2023-06-08,,basin,,3100.0,3200.0,3150.0,382,374,0.9790575916230366,0.964527027027027,True,0.5,,
2023-06-08,,basin,,3200.0,3300.0,3250.0,249,240,0.963855421686747,0.9790575916230366,True,0.5,,
2023-06-08,,basin,,3300.0,3400.0,3350.0,132,132,1.0,1.0,True,0.5,,
2023-06-08,,basin,,3400.0,3500.0,3450.0,53,53,1.0,1.0,True,0.5,,
2023-06-08,,basin,,3500.0,3600.0,3550.0,11,11,1.0,1.0,True,0.5,,
2023-06-08,,basin,,3600.0,3700.0,3650.0,4,4,1.0,1.0,True,0.5,,
2023-06-08,,sector_rel,N,1900.0,2000.0,1950.0,18,0,0.0,0.0,False,0.5,0.8,True
2023-06-08,,sector_rel,N,2000.0,2100.0,2050.0,59,0,0.0,0.0,False,0.5,0.8,True
2023-06-08,,sector_rel,N,2100.0,2200.0,2150.0,51,0,0.0,0.0,False,0.5,0.8,True
2023-06-08,,sector_rel,N,2200.0,2300.0,2250.0,65,0,0.0,0.0,False,0.5,0.8,True
2023-06-08,,sector_rel,N,2300.0,2400.0,2350.0,100,0,0.0,0.0,False,0.5,0.8,True
2023-06-08,,sector_rel,N,2400.0,2500.0,2450.0,116,0,0.0,0.0,False,0.5,0.8,True
2023-06-08,,sector_rel,N,2500.0,2600.0,2550.0,129,0,0.0,0.0,False,0.5,0.8,True
2023-06-08,,sector_rel,N,2600.0,2700.0,2650.0,167,28,0.16766467065868262,0.16766467065868262,False,0.5,0.8,True
