date,region_id,acquisition_time,time_source,time_quality,scope,sector,band_low_m,band_high_m,band_mid_m,n_valid,n_wet,f_wet,f_wet_smooth,above_crossing_fraction,crossing_fraction,sector_relative_threshold_fraction,below_sector_relative_threshold
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,1900.0,2000.0,1950.0,42,0,0.0,0.0,False,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,2000.0,2100.0,2050.0,120,0,0.0,0.0,False,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,2100.0,2200.0,2150.0,151,0,0.0,0.0,False,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,2200.0,2300.0,2250.0,216,9,0.041666666666666664,0.041666666666666664,False,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,2300.0,2400.0,2350.0,293,40,0.13651877133105803,0.13651877133105803,False,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,2400.0,2500.0,2450.0,368,122,0.33152173913043476,0.33152173913043476,False,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,2500.0,2600.0,2550.0,480,322,0.6708333333333333,0.6708333333333333,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,2600.0,2700.0,2650.0,629,562,0.8934817170111288,0.8934817170111288,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,2700.0,2800.0,2750.0,791,772,0.9759797724399494,0.9691817215727949,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,2800.0,2900.0,2850.0,941,912,0.9691817215727949,0.9691817215727949,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,2900.0,3000.0,2950.0,863,773,0.895712630359212,0.895712630359212,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,3000.0,3100.0,3050.0,578,497,0.8598615916955017,0.8598615916955017,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,3100.0,3200.0,3150.0,339,274,0.8082595870206489,0.8082595870206489,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,3200.0,3300.0,3250.0,222,143,0.6441441441441441,0.6441441441441441,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,3300.0,3400.0,3350.0,132,73,0.553030303030303,0.553030303030303,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,3400.0,3500.0,3450.0,54,27,0.5,0.553030303030303,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,3500.0,3600.0,3550.0,15,9,0.6,0.5,True,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,basin,,3600.0,3700.0,3650.0,3,1,0.3333333333333333,0.4666666666666667,False,0.5,,
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,sector_rel,N,1900.0,2000.0,1950.0,18,0,0.0,0.0,False,0.5,0.7614457831325301,True
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2000.0,2100.0,2050.0,59,0,0.0,0.0,False,0.5,0.7614457831325301,True
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2100.0,2200.0,2150.0,52,0,0.0,0.0,False,0.5,0.7614457831325301,True
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2200.0,2300.0,2250.0,65,9,0.13846153846153847,0.13846153846153847,False,0.5,0.7614457831325301,True
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2300.0,2400.0,2350.0,101,38,0.37623762376237624,0.37623762376237624,False,0.5,0.7614457831325301,True
2023-04-29,,2023-04-29T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2400.0,2500.0,2450.0,117,75,0.6410256410256411,0.6410256410256411,True,0.5,0.7614457831325301,True
