date,region_id,acquisition_time,time_source,time_quality,scope,sector,band_low_m,band_high_m,band_mid_m,n_valid,n_wet,f_wet,f_wet_smooth,above_crossing_fraction,crossing_fraction,sector_relative_threshold_fraction,below_sector_relative_threshold
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,1900.0,2000.0,1950.0,42,3,0.07142857142857142,0.14821428571428572,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,2000.0,2100.0,2050.0,120,27,0.225,0.1456953642384106,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,2100.0,2200.0,2150.0,151,22,0.1456953642384106,0.1456953642384106,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,2200.0,2300.0,2250.0,216,27,0.125,0.1456953642384106,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,2300.0,2400.0,2350.0,293,59,0.20136518771331058,0.20136518771331058,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,2400.0,2500.0,2450.0,368,131,0.35597826086956524,0.35597826086956524,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,2500.0,2600.0,2550.0,480,299,0.6229166666666667,0.6229166666666667,True,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,2600.0,2700.0,2650.0,629,428,0.6804451510333863,0.6472819216182049,True,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,2700.0,2800.0,2750.0,791,512,0.6472819216182049,0.6472819216182049,True,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,2800.0,2900.0,2850.0,941,510,0.5419766206163655,0.5419766206163655,True,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,2900.0,3000.0,2950.0,863,443,0.5133256083429896,0.5133256083429896,True,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,3000.0,3100.0,3050.0,578,249,0.43079584775086505,0.43079584775086505,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,3100.0,3200.0,3150.0,339,97,0.2861356932153392,0.2861356932153392,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,3200.0,3300.0,3250.0,222,43,0.19369369369369369,0.19369369369369369,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,3300.0,3400.0,3350.0,132,16,0.12121212121212122,0.12121212121212122,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,3400.0,3500.0,3450.0,54,3,0.05555555555555555,0.12121212121212122,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,3500.0,3600.0,3550.0,15,3,0.2,0.05555555555555555,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,basin,,3600.0,3700.0,3650.0,3,0,0.0,0.1,False,0.5,,
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,sector_rel,N,1900.0,2000.0,1950.0,18,3,0.16666666666666666,0.3121468926553672,False,0.5,0.5264957264957265,True
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2000.0,2100.0,2050.0,59,27,0.4576271186440678,0.34615384615384615,False,0.5,0.5264957264957265,True
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2100.0,2200.0,2150.0,52,18,0.34615384615384615,0.34615384615384615,False,0.5,0.5264957264957265,True
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2200.0,2300.0,2250.0,65,20,0.3076923076923077,0.34615384615384615,False,0.5,0.5264957264957265,True
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2300.0,2400.0,2350.0,101,50,0.49504950495049505,0.49504950495049505,False,0.5,0.5264957264957265,True
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2400.0,2500.0,2450.0,117,77,0.6581196581196581,0.6581196581196581,True,0.5,0.5264957264957265,False
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2500.0,2600.0,2550.0,130,108,0.8307692307692308,0.6581196581196581,True,0.5,0.5264957264957265,False
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2600.0,2700.0,2650.0,166,87,0.5240963855421686,0.5240963855421686,True,0.5,0.5264957264957265,True
2023-03-24,,2023-03-24T17:07:12Z,sidecar_metadata,derived,sector_rel,N,2700.0,2800.0,2750.0,210,58,0.2761904761904762,0.2761904761904762,False,0.5,0.5264957264957265,True
