date,region_id,scope,sector,band_low_m,band_high_m,band_mid_m,n_valid,n_wet,f_wet,f_wet_smooth,above_crossing_fraction,crossing_fraction,sector_relative_threshold_fraction,below_sector_relative_threshold
2023-06-20,,sector_rel,S,2100.0,2200.0,2150.0,55,0,0.0,0.0,False,0.5,0.8,True
2023-06-20,,sector_rel,S,2200.0,2300.0,2250.0,64,0,0.0,0.0,False,0.5,0.8,True
2023-06-20,,sector_rel,S,2300.0,2400.0,2350.0,111,0,0.0,0.0,False,0.5,0.8,True
2023-06-20,,sector_rel,S,2400.0,2500.0,2450.0,140,0,0.0,0.0,False,0.5,0.8,True
2023-06-20,,sector_rel,S,2500.0,2600.0,2550.0,166,0,0.0,0.0,False,0.5,0.8,True
2023-06-20,,sector_rel,S,2600.0,2700.0,2650.0,193,0,0.0,0.0,False,0.5,0.8,True
2023-06-20,,sector_rel,S,2700.0,2800.0,2750.0,217,1,0.004608294930875576,0.004608294930875576,False,0.5,0.8,True
2023-06-20,,sector_rel,S,2800.0,2900.0,2850.0,220,30,0.13636363636363635,0.13636363636363635,False,0.5,0.8,True
2023-06-20,,sector_rel,S,2900.0,3000.0,2950.0,265,154,0.5811320754716981,0.5811320754716981,True,0.5,0.8,True
2023-06-20,,sector_rel,S,3000.0,3100.0,3050.0,219,184,0.8401826484018264,0.8401826484018264,True,0.5,0.8,False
2023-06-20,,sector_rel,S,3100.0,3200.0,3150.0,122,119,0.9754098360655737,0.927710843373494,True,0.5,0.8,False
2023-06-20,,sector_rel,S,3200.0,3300.0,3250.0,83,77,0.927710843373494,0.9298245614035088,True,0.5,0.8,False
2023-06-20,,sector_rel,S,3300.0,3400.0,3350.0,57,53,0.9298245614035088,0.9298245614035088,True,0.5,0.8,False
2023-06-20,,sector_rel,S,3400.0,3500.0,3450.0,27,27,1.0,1.0,True,0.5,0.8,False
2023-06-20,,sector_rel,S,3500.0,3600.0,3550.0,8,8,1.0,1.0,True,0.5,0.8,False
2023-06-20,,sector_rel,S,3600.0,3700.0,3650.0,2,2,1.0,1.0,True,0.5,0.8,False
2023-06-20,,sector_rel,W,2000.0,2100.0,2050.0,1,0,0.0,0.0,False,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,2100.0,2200.0,2150.0,12,0,0.0,0.0,False,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,2200.0,2300.0,2250.0,20,0,0.0,0.0,False,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,2300.0,2400.0,2350.0,18,0,0.0,0.0,False,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,2400.0,2500.0,2450.0,20,0,0.0,0.0,False,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,2500.0,2600.0,2550.0,52,0,0.0,0.0,False,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,2600.0,2700.0,2650.0,91,0,0.0,0.0,False,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,2700.0,2800.0,2750.0,129,3,0.023255813953488372,0.023255813953488372,False,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,2800.0,2900.0,2850.0,196,86,0.4387755102040816,0.4387755102040816,False,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,2900.0,3000.0,2950.0,160,97,0.60625,0.60625,True,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,3000.0,3100.0,3050.0,113,74,0.6548672566371682,0.6224489795918368,True,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,3100.0,3200.0,3150.0,98,61,0.6224489795918368,0.6224489795918368,True,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,3200.0,3300.0,3250.0,83,50,0.6024096385542169,0.6224489795918368,True,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,3300.0,3400.0,3350.0,33,32,0.9696969696969697,0.6666666666666666,True,0.5,0.7757575757575759,True
2023-06-20,,sector_rel,W,3400.0,3500.0,3450.0,12,8,0.6666666666666666,0.9696969696969697,True,0.5,0.7757575757575759,False
2023-06-20,,sector_rel,W,3500.0,3600.0,3550.0,2,2,1.0,0.8333333333333333,True,0.5,0.7757575757575759,False
