date,region_id,scope,sector,band_low_m,band_high_m,band_mid_m,n_valid,n_wet,f_wet,f_wet_smooth,above_crossing_fraction,crossing_fraction,sector_relative_threshold_fraction,below_sector_relative_threshold
2023-03-28,,basin,,1900.0,2000.0,1950.0,42,27,0.6428571428571429,0.707983193277311,True,0.5,,
2023-03-28,,basin,,2000.0,2100.0,2050.0,119,92,0.773109243697479,0.6428571428571429,True,0.5,,
2023-03-28,,basin,,2100.0,2200.0,2150.0,147,83,0.564625850340136,0.564625850340136,True,0.5,,
2023-03-28,,basin,,2200.0,2300.0,2250.0,211,108,0.5118483412322274,0.5118483412322274,True,0.5,,
2023-03-28,,basin,,2300.0,2400.0,2350.0,286,135,0.47202797202797203,0.47202797202797203,False,0.5,,
2023-03-28,,basin,,2400.0,2500.0,2450.0,363,167,0.46005509641873277,0.46005509641873277,False,0.5,,
2023-03-28,,basin,,2500.0,2600.0,2550.0,476,211,0.4432773109243697,0.4432773109243697,False,0.5,,
2023-03-28,,basin,,2600.0,2700.0,2650.0,630,270,0.42857142857142855,0.42857142857142855,False,0.5,,
2023-03-28,,basin,,2700.0,2800.0,2750.0,781,257,0.3290653008962868,0.3290653008962868,False,0.5,,
2023-03-28,,basin,,2800.0,2900.0,2850.0,940,199,0.21170212765957447,0.21170212765957447,False,0.5,,
2023-03-28,,basin,,2900.0,3000.0,2950.0,879,78,0.08873720136518772,0.08873720136518772,False,0.5,,
2023-03-28,,basin,,3000.0,3100.0,3050.0,592,28,0.0472972972972973,0.0472972972972973,False,0.5,,
2023-03-28,,basin,,3100.0,3200.0,3150.0,382,5,0.013089005235602094,0.01606425702811245,False,0.5,,
2023-03-28,,basin,,3200.0,3300.0,3250.0,249,4,0.01606425702811245,0.015151515151515152,False,0.5,,
2023-03-28,,basin,,3300.0,3400.0,3350.0,132,2,0.015151515151515152,0.01606425702811245,False,0.5,,
2023-03-28,,basin,,3400.0,3500.0,3450.0,53,1,0.018867924528301886,0.015151515151515152,False,0.5,,
2023-03-28,,basin,,3500.0,3600.0,3550.0,11,0,0.0,0.0,False,0.5,,
2023-03-28,,basin,,3600.0,3700.0,3650.0,4,0,0.0,0.0,False,0.5,,
2023-03-28,,sector_rel,N,1900.0,2000.0,1950.0,18,14,0.7777777777777778,0.8295668549905838,True,0.5,0.663653483992467,False
2023-03-28,,sector_rel,N,2000.0,2100.0,2050.0,59,52,0.8813559322033898,0.7777777777777778,True,0.5,0.663653483992467,False
2023-03-28,,sector_rel,N,2100.0,2200.0,2150.0,51,24,0.47058823529411764,0.47058823529411764,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,2200.0,2300.0,2250.0,65,13,0.2,0.2,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,2300.0,2400.0,2350.0,100,17,0.17,0.17,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,2400.0,2500.0,2450.0,116,13,0.11206896551724138,0.11206896551724138,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,2500.0,2600.0,2550.0,129,6,0.046511627906976744,0.046511627906976744,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,2600.0,2700.0,2650.0,167,4,0.023952095808383235,0.023952095808383235,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,2700.0,2800.0,2750.0,212,0,0.0,0.008298755186721992,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,2800.0,2900.0,2850.0,241,2,0.008298755186721992,0.0,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,2900.0,3000.0,2950.0,175,0,0.0,0.0,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,3000.0,3100.0,3050.0,80,0,0.0,0.0,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,3100.0,3200.0,3150.0,61,0,0.0,0.0,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,3200.0,3300.0,3250.0,32,0,0.0,0.0,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,3300.0,3400.0,3350.0,16,0,0.0,0.0,False,0.5,0.663653483992467,True
2023-03-28,,sector_rel,N,3400.0,3500.0,3450.0,6,0,0.0,0.0,False,0.5,0.663653483992467,True
