date,region_id,acquisition_time,time_source,time_quality,scope,sector,band_low_m,band_high_m,band_mid_m,n_valid,n_wet,f_wet,f_wet_smooth,above_crossing_fraction,crossing_fraction,sector_relative_threshold_fraction,below_sector_relative_threshold
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,2000.0,2100.0,2050.0,11,1,0.09090909090909091,0.06896551724137931,False,0.5,0.06451612903225806,False
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,2100.0,2200.0,2150.0,29,2,0.06896551724137931,0.08064516129032258,False,0.5,0.06451612903225806,False
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,2200.0,2300.0,2250.0,62,5,0.08064516129032258,0.06896551724137931,False,0.5,0.06451612903225806,False
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,2300.0,2400.0,2350.0,57,2,0.03508771929824561,0.03508771929824561,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,2400.0,2500.0,2450.0,87,2,0.022988505747126436,0.022988505747126436,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,2500.0,2600.0,2550.0,129,1,0.007751937984496124,0.022988505747126436,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,2600.0,2700.0,2650.0,179,5,0.027932960893854747,0.007751937984496124,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,2700.0,2800.0,2750.0,223,0,0.0,0.0,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,2800.0,2900.0,2850.0,283,0,0.0,0.0,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,2900.0,3000.0,2950.0,279,1,0.0035842293906810036,0.0,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,3000.0,3100.0,3050.0,180,0,0.0,0.0,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,3100.0,3200.0,3150.0,101,0,0.0,0.0,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,3200.0,3300.0,3250.0,51,0,0.0,0.0,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,3300.0,3400.0,3350.0,26,0,0.0,0.0,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,3400.0,3500.0,3450.0,8,0,0.0,0.0,False,0.5,0.06451612903225806,True
2023-03-16,,2023-03-16T05:26:24Z,sidecar_metadata,derived,sector_rel,E,3500.0,3600.0,3550.0,1,0,0.0,0.0,False,0.5,0.06451612903225806,True
