date,region_id,acquisition_time,time_source,time_quality,scope,sector,band_low_m,band_high_m,band_mid_m,n_valid,n_wet,f_wet,f_wet_smooth,above_crossing_fraction,crossing_fraction,sector_relative_threshold_fraction,below_sector_relative_threshold
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,1900.0,2000.0,1950.0,42,0,0.0,0.0,False,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,2000.0,2100.0,2050.0,119,0,0.0,0.0,False,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,2100.0,2200.0,2150.0,147,0,0.0,0.0,False,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,2200.0,2300.0,2250.0,211,0,0.0,0.0,False,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,2300.0,2400.0,2350.0,286,71,0.24825174825174826,0.24825174825174826,False,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,2400.0,2500.0,2450.0,363,181,0.4986225895316804,0.4986225895316804,False,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,2500.0,2600.0,2550.0,476,355,0.7457983193277311,0.7457983193277311,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,2600.0,2700.0,2650.0,630,566,0.8984126984126984,0.8984126984126984,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,2700.0,2800.0,2750.0,781,761,0.9743918053777209,0.9743918053777209,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,2800.0,2900.0,2850.0,940,930,0.9893617021276596,0.9893617021276596,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,2900.0,3000.0,2950.0,879,876,0.9965870307167235,0.9915540540540541,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,3000.0,3100.0,3050.0,592,587,0.9915540540540541,0.9915540540540541,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,3100.0,3200.0,3150.0,382,365,0.9554973821989529,0.9554973821989529,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,3200.0,3300.0,3250.0,249,231,0.927710843373494,0.9318181818181818,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,3300.0,3400.0,3350.0,132,123,0.9318181818181818,0.927710843373494,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,3400.0,3500.0,3450.0,53,40,0.7547169811320755,0.7547169811320755,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,3500.0,3600.0,3550.0,11,8,0.7272727272727273,0.7272727272727273,True,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,basin,,3600.0,3700.0,3650.0,4,1,0.25,0.48863636363636365,False,0.5,,
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,sector_rel,N,1900.0,2000.0,1950.0,18,0,0.0,0.0,False,0.5,0.8,True
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,sector_rel,N,2000.0,2100.0,2050.0,59,0,0.0,0.0,False,0.5,0.8,True
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,sector_rel,N,2100.0,2200.0,2150.0,51,0,0.0,0.0,False,0.5,0.8,True
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,sector_rel,N,2200.0,2300.0,2250.0,65,0,0.0,0.0,False,0.5,0.8,True
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,sector_rel,N,2300.0,2400.0,2350.0,100,60,0.6,0.6,True,0.5,0.8,True
2023-05-15,,2023-05-15T05:26:24Z,sidecar_metadata,derived,sector_rel,N,2400.0,2500.0,2450.0,116,90,0.7758620689655172,0.7758620689655172,True,0.5,0.8,True
