date,subdomain_id,cloud_fraction,selected_for_subdomain
2022-10-03,AT-07-13,0.006636737693931817,False
2022-10-03,AT-07-20,0.2377893762857425,False
2022-10-03,AT-07-22,0.08161506966331851,False
2022-10-03,AT-07-21,0.1986265396926065,True
2022-10-03,AT-07-19,0.025050047413338952,True
2022-10-03,AT-07-14-01,0.02637637382839236,False
2022-10-03,AT-07-14-03,0.061183028422084285,False
2022-10-03,AT-07-14-02,0.01976012797035257,False
2022-10-05,AT-07-13,0.006967982084493403,False
2022-10-05,AT-07-20,0.2375716888501961,True
2022-10-05,AT-07-22,0.07226174098439751,True
2022-10-05,AT-07-21,0.1986265396926065,False
2022-10-05,AT-07-19,0.025050047413338952,False
2022-10-05,AT-07-14-01,0.024425121785134358,True
2022-10-05,AT-07-14-03,0.05381838428104458,True
2022-10-05,AT-07-14-02,0.015983887304812146,True
2022-10-13,AT-07-13,0.006833459466678538,False
2022-10-13,AT-07-20,0.2375716888501961,False
2022-10-13,AT-07-22,0.07291495338785124,False
2022-10-13,AT-07-21,0.1988235644212552,False
2022-10-13,AT-07-19,0.025050047413338952,True
2022-10-13,AT-07-14-01,0.024472680133725905,False
2022-10-13,AT-07-14-03,0.055072090864814696,False
2022-10-13,AT-07-14-02,0.016040235726834197,False
2022-10-18,AT-07-13,0.006546912430603439,False
2022-10-18,AT-07-20,0.23776588100028745,False
2022-10-18,AT-07-22,0.07763651010472487,False
2022-10-18,AT-07-21,0.1986265396926065,True
2022-10-18,AT-07-19,0.02506424194504843,False
2022-10-18,AT-07-14-01,0.036105303910181956,False
2022-10-18,AT-07-14-03,0.05419899795611988,False
2022-10-18,AT-07-14-02,0.022858195458503584,False
2022-10-20,AT-07-13,0.007131794951215735,False
2022-10-20,AT-07-20,0.23867273792885804,False
2022-10-20,AT-07-22,0.07226174098439751,True
2022-10-20,AT-07-21,0.1986265396926065,False
2022-10-20,AT-07-19,0.025051697114181475,False
2022-10-20,AT-07-14-01,0.024426529211782146,False
2022-10-20,AT-07-14-03,0.05381838428104458,True
2022-10-20,AT-07-14-02,0.015983887304812146,True
2022-10-25,AT-07-13,0.007297708471997718,False
2022-10-25,AT-07-20,0.2375716888501961,True
2022-10-25,AT-07-22,0.07280909210353435,False
2022-10-25,AT-07-21,0.19865213082259664,False
2022-10-25,AT-07-19,0.025050047413338952,True
2022-10-25,AT-07-14-01,0.02517424377392309,False
2022-10-25,AT-07-14-03,0.054350389059184157,False
2022-10-25,AT-07-14-02,0.016282953596564474,False
2022-10-28,AT-07-13,0.00651329886918948,True
2022-10-28,AT-07-20,0.2375716888501961,False
2022-10-28,AT-07-22,0.07226174098439751,False
2022-10-28,AT-07-21,0.1986265396926065,True
2022-10-28,AT-07-19,0.025050047413338952,False
2022-10-28,AT-07-14-01,0.024425121785134358,True
2022-10-28,AT-07-14-03,0.05381838428104458,False
2022-10-28,AT-07-14-02,0.015983887304812146,False
2022-10-30,AT-07-13,0.007188348787112484,False
2022-10-30,AT-07-20,0.23762074042155912,False
2022-10-30,AT-07-22,0.07227540692821369,True
2022-10-30,AT-07-21,0.1986265396926065,False
2022-10-30,AT-07-19,0.025050047413338952,False
2022-10-30,AT-07-14-01,0.024425121785134358,False
2022-10-30,AT-07-14-03,0.05381838428104458,True
2022-10-30,AT-07-14-02,0.01598463601285797,True
2022-11-12,AT-07-13,0.006511272773547689,True
2022-11-12,AT-07-20,0.2375716888501961,True
2022-11-12,AT-07-22,0.07226174098439751,True
2022-11-12,AT-07-21,0.1986265396926065,True
2022-11-12,AT-07-19,0.025050047413338952,True
2022-11-12,AT-07-14-01,0.024425121785134358,True
2022-11-12,AT-07-14-03,0.05381838428104458,True
2022-11-12,AT-07-14-02,0.015983887304812146,True
2022-11-27,AT-07-13,0.0065113188071772975,True
2022-11-27,AT-07-20,0.2375716888501961,True
2022-11-27,AT-07-22,0.07226174098439751,True
2022-11-27,AT-07-21,0.1986265396926065,True
2022-11-27,AT-07-19,0.025050377336125487,False
2022-11-27,AT-07-14-01,0.02442550561268052,True
2022-11-27,AT-07-14-03,0.0538188675856495,True
2022-11-27,AT-07-14-02,0.015984823200829102,False
2022-12-17,AT-07-13,0.007552027813765846,False
2022-12-17,AT-07-20,0.2391968336014169,False
2022-12-17,AT-07-22,0.09298052803342366,False
2022-12-17,AT-07-21,0.1986265396926065,True
2022-12-17,AT-07-19,0.025404712293636802,False
2022-12-17,AT-07-14-01,0.030620821896218856,False
2022-12-17,AT-07-14-03,0.06037617996997814,False
2022-12-17,AT-07-14-02,0.020371158021982944,False
2022-12-29,AT-07-13,0.007150954236998618,False
2022-12-29,AT-07-20,0.2375716888501961,True
2022-12-29,AT-07-22,0.07250377794205193,False
2022-12-29,AT-07-21,0.1995917351257157,False
2022-12-29,AT-07-19,0.025050047413338952,True
2022-12-29,AT-07-14-01,0.024425121785134358,True
2022-12-29,AT-07-14-03,0.05381838428104458,True
2022-12-29,AT-07-14-02,0.015983887304812146,True
2023-01-06,AT-07-13,0.00651362131884919,True
2023-01-06,AT-07-20,0.23833749020808384,False
2023-01-06,AT-07-22,0.09020910149032631,False
2023-01-06,AT-07-21,0.19973493567705997,False
2023-01-06,AT-07-19,0.025059948878758332,False
2023-01-06,AT-07-14-01,0.024426913083563824,False
2023-01-06,AT-07-14-03,0.062309603767895946,False
2023-01-06,AT-07-14-02,0.01670307079532314,False
2023-02-12,AT-07-13,0.00705860713218219,False
2023-02-12,AT-07-20,0.2377189043556354,False
2023-02-12,AT-07-22,0.07331093148473984,False
2023-02-12,AT-07-21,0.20000798275724435,False
2023-02-12,AT-07-19,0.02506490254734262,False
2023-02-12,AT-07-14-01,0.024435873518283673,False
2023-02-12,AT-07-14-03,0.05433905466546981,False
2023-02-12,AT-07-14-02,0.015983887304812146,True
2023-02-15,AT-07-13,0.006511272773547689,True
2023-02-15,AT-07-20,0.23758448295979823,True
2023-02-15,AT-07-22,0.07226174098439751,True
2023-02-15,AT-07-21,0.1986265396926065,True
2023-02-15,AT-07-19,0.025050047413338952,True
2023-02-15,AT-07-14-01,0.024425121785134358,True
2023-02-15,AT-07-14-03,0.05381838428104458,True
2023-02-15,AT-07-14-02,0.015983980889482188,False
2023-03-07,AT-07-13,0.006536318796352152,True
2023-03-07,AT-07-20,0.23809737975947398,True
2023-03-07,AT-07-22,0.08362824179223856,False
2023-03-07,AT-07-21,0.20449305229651696,False
2023-03-07,AT-07-19,0.027781429385215373,False
2023-03-07,AT-07-14-01,0.024473193901382948,False
2023-03-07,AT-07-14-03,0.05427409641282002,False
2023-03-07,AT-07-14-02,0.016006848351235985,False
2023-03-22,AT-07-13,0.006521970045675034,True
