date,hs,rel_hum,temp,precip
2022-10-01 00:00:00,227.666666666667,98.6666666666667,273.883333333333,0.0
2022-10-01 01:00:00,209.666666666667,99.1833333333333,273.733333333333,0.0
2022-10-01 02:00:00,228.166666666667,94.2333333333334,273.983333333333,0.0
2022-10-01 03:00:00,235.0,94.1833333333333,273.583333333333,0.0
2022-10-01 04:00:00,59.8333333333333,90.8166666666667,273.85,0.0
2022-10-01 05:00:00,228.833333333333,91.6833333333333,273.683333333333,0.0
2022-10-01 06:00:00,226.5,85.1333333333333,274.266666666667,0.0
2022-10-01 07:00:00,216.333333333333,76.6833333333333,274.883333333333,0.0
2022-10-01 08:00:00,247.0,79.9,275.366666666667,0.0
2022-10-01 09:00:00,137.166666666667,75.55,276.666666666667,0.0
2022-10-01 10:00:00,104.333333333333,69.8166666666667,277.15,0.0
2022-10-01 11:00:00,208.333333333333,64.7,277.783333333333,0.0
2022-10-01 12:00:00,182.5,67.3666666666667,277.833333333333,0.2
2022-10-01 13:00:00,147.666666666667,83.7166666666667,276.45,0.4
2022-10-01 14:00:00,202.666666666667,90.2166666666667,276.6,0.5
2022-10-01 15:00:00,211.666666666667,95.65,276.866666666667,1.8
2022-10-01 16:00:00,258.5,98.6166666666667,276.816666666667,1.9
2022-10-01 17:00:00,194.5,99.3833333333333,276.266666666667,2.6
2022-10-01 18:00:00,184.666666666667,99.45,275.683333333333,3.4
2022-10-01 19:00:00,175.333333333333,99.5,275.183333333333,3.3
2022-10-01 20:00:00,278.166666666667,99.5,275.0,2.0
2022-10-01 21:00:00,394.166666666667,99.5,275.0,3.1
2022-10-01 22:00:00,256.166666666667,99.5833333333333,275.166666666667,4.1
2022-10-01 23:00:00,186.5,99.6,275.233333333333,4.3
2022-10-02 00:00:00,222.0,99.6,275.266666666667,2.7
2022-10-02 01:00:00,262.166666666667,99.65,275.316666666667,2.4
2022-10-02 02:00:00,210.0,99.7,275.45,1.59999999999999
2022-10-02 03:00:00,186.166666666667,99.7,275.483333333333,0.900000000000006
2022-10-02 04:00:00,177.333333333333,99.7166666666667,275.65,1.7
2022-10-02 05:00:00,234.166666666667,99.8,275.75,2.2
2022-10-02 06:00:00,249.0,99.8,276.033333333333,0.699999999999996
2022-10-02 07:00:00,256.333333333333,99.8,276.516666666667,0.300000000000004
2022-10-02 08:00:00,248.833333333333,99.8,277.683333333333,0.0
2022-10-02 09:00:00,232.5,91.0,279.15,0.0
2022-10-02 10:00:00,208.666666666667,81.6833333333333,280.7,0.2
2022-10-02 11:00:00,198.666666666667,93.5666666666667,280.066666666667,0.9
2022-10-02 12:00:00,242.666666666667,98.7833333333333,280.6,0.4
2022-10-02 13:00:00,215.333333333333,90.3333333333333,281.75,0.2
2022-10-02 14:00:00,186.833333333333,78.45,281.85,0.4
2022-10-02 15:00:00,124.166666666667,89.4,280.816666666667,2.3
2022-10-02 16:00:00,177.833333333333,99.2166666666667,280.166666666667,2.7
2022-10-02 17:00:00,180.0,78.7,280.4,0.300000000000001
2022-10-02 18:00:00,213.333333333333,62.8833333333333,280.716666666667,0.0
2022-10-02 19:00:00,177.833333333333,67.7333333333333,280.016666666667,0.0
2022-10-02 20:00:00,184.166666666667,72.1,279.65,0.0999999999999996
2022-10-02 21:00:00,162.833333333333,73.1333333333333,279.266666666667,0.0
2022-10-02 22:00:00,216.666666666667,84.5166666666667,277.916666666667,0.6
2022-10-02 23:00:00,196.666666666667,93.3166666666667,277.2,0.700000000000001
2022-10-03 00:00:00,143.0,98.25,276.65,4.5
2022-10-03 01:00:00,108.666666666667,99.35,275.766666666667,4.4
2022-10-03 02:00:00,164.833333333333,99.4,275.333333333333,1.6
2022-10-03 03:00:00,151.833333333333,99.4,275.333333333333,1.2
2022-10-03 04:00:00,150.5,99.4,275.616666666667,1.0
2022-10-03 05:00:00,146.833333333333,99.4,275.833333333333,0.699999999999999
2022-10-03 06:00:00,150.166666666667,99.5,275.85,0.800000000000001
2022-10-03 07:00:00,162.5,99.5,275.533333333333,0.0
2022-10-03 08:00:00,176.166666666667,92.0333333333333,276.883333333333,0.0
2022-10-03 09:00:00,185.833333333333,90.7,278.7,0.0
2022-10-03 10:00:00,207.5,74.7833333333333,280.016666666667,0.0
2022-10-03 11:00:00,210.166666666667,45.3666666666667,280.516666666667,0.0
2022-10-03 12:00:00,180.166666666667,48.6833333333333,281.466666666667,0.0
2022-10-03 13:00:00,148.833333333333,49.7166666666667,281.883333333333,0.0
2022-10-03 14:00:00,179.0,51.2833333333333,281.733333333333,0.0
2022-10-03 15:00:00,149.333333333333,55.2166666666667,281.966666666667,0.0
2022-10-03 16:00:00,122.166666666667,83.2666666666667,280.7,0.0
2022-10-03 17:00:00,134.0,72.0833333333333,279.05,0.1
2022-10-03 18:00:00,95.5,79.65,278.383333333333,0.0
2022-10-03 19:00:00,71.8333333333333,88.8166666666667,276.933333333333,0.0
2022-10-03 20:00:00,72.8333333333333,90.65,276.05,0.0
2022-10-03 21:00:00,76.8333333333333,83.1833333333333,275.716666666667,0.0
2022-10-03 22:00:00,50.5,91.7333333333333,275.183333333333,0.0
2022-10-03 23:00:00,50.6666666666667,95.7666666666667,274.366666666667,0.0
2022-10-04 00:00:00,144.0,66.25,274.933333333333,0.0
2022-10-04 01:00:00,209.666666666667,51.8666666666667,276.1,0.0
2022-10-04 02:00:00,250.0,47.4,276.583333333333,0.0
2022-10-04 03:00:00,210.5,46.8333333333333,276.75,0.0
2022-10-04 04:00:00,200.833333333333,45.0166666666667,277.183333333333,0.0
2022-10-04 05:00:00,200.0,43.8333333333333,277.433333333333,0.0
2022-10-04 06:00:00,203.666666666667,42.5,277.55,0.0
2022-10-04 07:00:00,229.833333333333,39.6,277.983333333333,0.0
2022-10-04 08:00:00,194.833333333333,45.2833333333333,279.566666666667,0.0
2022-10-04 09:00:00,204.5,43.35,281.166666666667,0.0
2022-10-04 10:00:00,143.833333333333,42.9333333333333,283.033333333333,0.0
2022-10-04 11:00:00,195.166666666667,41.2166666666667,284.1,0.0
2022-10-04 12:00:00,171.333333333333,37.95,284.083333333333,0.1
2022-10-04 13:00:00,176.166666666667,28.2,284.95,0.1
2022-10-04 14:00:00,187.833333333333,30.4666666666667,285.9,0.0
2022-10-04 15:00:00,160.666666666667,28.1,286.133333333333,0.0
2022-10-04 16:00:00,125.666666666667,28.9,284.866666666667,0.0
2022-10-04 17:00:00,135.166666666667,34.4166666666667,283.25,0.0
2022-10-04 18:00:00,129.0,39.3166666666667,282.1,0.0
2022-10-04 19:00:00,126.666666666667,38.45,281.583333333333,0.0
2022-10-04 20:00:00,147.166666666667,31.5,281.5,0.0
2022-10-04 21:00:00,290.166666666667,30.6,281.35,0.0
2022-10-04 22:00:00,276.833333333333,27.5833333333333,281.583333333333,0.0
2022-10-04 23:00:00,255.0,25.6666666666667,281.75,0.0
2022-10-05 00:00:00,244.666666666667,27.1833333333333,281.483333333333,0.0
2022-10-05 01:00:00,239.833333333333,25.3833333333333,281.7,0.0
2022-10-05 02:00:00,243.0,24.5166666666667,281.716666666667,0.0
2022-10-05 03:00:00,244.833333333333,24.6,281.416666666667,0.0
2022-10-05 04:00:00,245.166666666667,19.6833333333333,282.65,0.1
2022-10-05 05:00:00,238.333333333333,19.2333333333333,282.966666666667,0.0
2022-10-05 06:00:00,240.666666666667,21.5166666666667,282.183333333333,0.0
2022-10-05 07:00:00,246.666666666667,23.9833333333333,281.4,0.0
