date,temp,precip,rel_hum,air_pres
2022-10-01 00:00:00,279.75,0.0,100.0,861.25
2022-10-01 01:00:00,279.616666666667,0.0,100.0,861.283333333333
2022-10-01 02:00:00,279.633333333333,0.0,100.0,861.65
2022-10-01 03:00:00,279.633333333333,0.0,100.0,861.833333333333
2022-10-01 04:00:00,279.65,0.0,100.0,861.65
2022-10-01 05:00:00,279.683333333333,0.0,100.0,861.516666666667
2022-10-01 06:00:00,279.65,0.0,100.0,861.483333333333
2022-10-01 07:00:00,279.7,0.0,100.0,861.666666666667
2022-10-01 08:00:00,280.1,0.0,100.0,862.0
2022-10-01 09:00:00,280.1,0.0,100.0,862.416666666667
2022-10-01 10:00:00,280.866666666667,0.0,100.033333333333,862.5
2022-10-01 11:00:00,281.633333333333,0.0,99.8166666666667,862.566666666667
2022-10-01 12:00:00,282.45,0.0,97.95,862.5
2022-10-01 13:00:00,282.85,0.0,93.25,862.183333333334
2022-10-01 14:00:00,283.166666666667,0.0,92.0,862.016666666667
2022-10-01 15:00:00,283.583333333333,0.0,88.3833333333334,861.733333333333
2022-10-01 16:00:00,283.8,0.0,88.5,861.95
2022-10-01 17:00:00,282.883333333333,0.4,98.7166666666667,862.016666666667
2022-10-01 18:00:00,282.2,0.8,100.0,862.416666666667
2022-10-01 19:00:00,281.566666666667,0.8,100.0,863.266666666667
2022-10-01 20:00:00,281.133333333333,1.0,100.0,863.85
2022-10-01 21:00:00,280.716666666667,1.7,100.0,864.55
2022-10-01 22:00:00,280.4,1.0,100.0,865.35
2022-10-01 23:00:00,280.15,1.4,100.0,866.016666666667
2022-10-02 00:00:00,279.9,0.9,100.0,866.966666666667
2022-10-02 01:00:00,279.65,0.8,100.0,867.7
2022-10-02 02:00:00,279.316666666667,0.4,100.0,868.1
2022-10-02 03:00:00,278.833333333333,0.0,100.0,867.883333333333
2022-10-02 04:00:00,278.533333333333,0.1,100.0,867.8
2022-10-02 05:00:00,278.366666666667,0.0,100.0,867.683333333333
2022-10-02 06:00:00,278.4,0.0,100.0,867.816666666667
2022-10-02 07:00:00,278.983333333333,0.0,100.0,868.05
2022-10-02 08:00:00,280.366666666667,0.0,100.0,868.183333333333
2022-10-02 09:00:00,281.666666666667,0.0,100.0,868.466666666667
2022-10-02 10:00:00,282.433333333333,0.0,99.05,868.483333333333
2022-10-02 11:00:00,284.233333333333,0.0,92.6,868.016666666667
2022-10-02 12:00:00,285.25,0.0,88.3333333333333,867.716666666667
2022-10-02 13:00:00,286.233333333333,0.0,88.6666666666667,867.183333333333
2022-10-02 14:00:00,287.233333333333,0.0,82.8833333333333,866.3
2022-10-02 15:00:00,288.783333333333,0.0,71.75,865.85
2022-10-02 16:00:00,287.8,0.0,75.8,865.3
2022-10-02 17:00:00,286.066666666667,0.0,93.5833333333333,865.266666666667
2022-10-02 18:00:00,284.65,0.0,96.85,865.383333333333
2022-10-02 19:00:00,283.4,0.0,100.0,865.6
2022-10-02 20:00:00,282.866666666667,0.0,100.0,865.966666666667
2022-10-02 21:00:00,282.65,0.0,100.0,866.283333333334
2022-10-02 22:00:00,282.466666666667,0.0,100.0,866.666666666667
2022-10-02 23:00:00,281.783333333333,0.0,100.0,866.95
2022-10-03 00:00:00,281.133333333333,0.0,100.0,867.066666666667
2022-10-03 01:00:00,281.366666666667,0.3,100.0,867.616666666667
2022-10-03 02:00:00,280.883333333333,0.1,100.016666666667,868.05
2022-10-03 03:00:00,280.3,0.0,100.0,868.183333333333
2022-10-03 04:00:00,279.716666666667,0.0,100.0,868.25
2022-10-03 05:00:00,279.116666666667,0.0,100.0,868.35
2022-10-03 06:00:00,278.833333333333,0.0,100.0,868.483333333333
2022-10-03 07:00:00,278.5,0.0,100.0,868.783333333333
