id,name,x,y,alt
AT_LWD.Franz_Senn_Hutte_Horntaler_Spitzl,Franz-Senn-Hütte Horntaler Spitzl,663559.2152382961,5218487.767748043,2846.0
AT_LWD.Franz_Senn_Hutte_Kl_Horntal,Franz-Senn-Hütte Kl Horntal,664099.3661855643,5218101.116212293,2503.0
AT_LWD.Gaisspitze,Gaisspitze,589970.2210053352,5204866.0209313,2550.0
AT_LWD.Gallreideschrofen,Gallreideschrofen,677380.2124160251,5213619.315322435,2180.0
AT_LWD.Gamoarbach,Gamoarbach,618417.6516138683,5195440.692007431,2581.0
AT_LWD.Gampberg_Schneestation,Gampberg Schneestation,596453.0767375884,5218365.607854171,2153.0
AT_LWD.Gampberg_Windstation,Gampberg Windstation,596931.1628273925,5218170.2074426,2401.0
AT_LWD.Giggijoch,Giggijoch,649615.2309676429,5204039.599085308,2532.0
AT_LWD.Grieskopf,Grieskopf,589096.8387267622,5203928.686732127,2750.0
AT_LWD.Jamtalhutte_Schneestation,Jamtalhütte Schneestation,589720.3713677833,5193159.180286411,2172.0
AT_LWD.Kalkwand,Kalkwand,676628.848134212,5213689.688885932,2444.0
AT_LWD.Kappl_Grossgfallkopf,Kappl Großgfallkopf,606903.1165445446,5217426.780608521,2636.0
AT_LWD.Kappl_Kapplerkopf,Kappl Kapplerkopf,600657.124122663,5212755.068146533,2403.0
AT_LWD.Kappl_Sinsenergampen,Kappl Sinsenergampen,601783.8970051283,5212774.039212906,2012.0
AT_LWD.Kappl_Spidur_Alpe,Kappl Spidur Alpe,607154.851854411,5216390.510880296,2205.0
AT_LWD.Kuhtai_Hochalter,Kühtai Hochalter,653670.6535673428,5232895.6901789075,2678.0
AT_LWD.Lampsenspitze_Schneestation,Lampsenspitze Schneestation,660764.0865588759,5224403.091321701,2111.0
AT_LWD.Lampsenspitze_Windstation,Lampsenspitze Windstation,658855.2239168956,5224638.924469384,2870.0
AT_LWD.Lattejoch,Lattejoch,601606.2313781406,5215433.01415351,2620.0
AT_LWD.Madleinkopf,Madleinkopf,594908.2183837752,5207823.286791066,2907.0
AT_LWD.Marchkofel,Marchkofel,647638.5504619871,5194954.760101297,2540.0
AT_LWD.Medrig_Zeinis,Medrig-Zeinis,612577.2511955441,5214287.5836007185,1985.0
AT_LWD.Medrigkopf,Medrigkopf,613593.8129099442,5213251.309412158,2680.0
AT_LWD.Muttekopfhutte,Muttekopfhütte,626251.5990304088,5235625.938128943,1935.0
AT_LWD.Nachtweide,Nachtweide,599332.1091728681,5204060.954700604,2030.0
AT_LWD.Nauders_Ganderbild,Nauders Ganderbild,617708.0974032802,5191122.602336817,2150.0
AT_LWD.Nockwand_Wind,Nockwand Wind,665212.8204710791,5211553.140507818,3092.0
AT_LWD.Palinkopf,Palinkopf,599639.9864870195,5200462.789857731,2864.0
AT_LWD.Pischgraben,Pischgraben,596338.4942342091,5207966.424811025,2292.0
AT_LWD.Planskopf,Planskopf,617392.2128321363,5212166.773914611,2660.0
AT_LWD.Plojen,Plojen,618414.033423824,5210943.290765044,2065.0
AT_LWD.Predigberg_Schneestation,Predigberg Schneestation,592547.3292800095,5201824.728458074,2354.0
AT_LWD.Predigberg_Windstation,Predigberg Windstation,591905.591528859,5201471.459021924,2340.0
AT_LWD.Rendl_Riffel_1,Rendl Riffel 1,596123.4673535009,5214580.750884829,1895.0
AT_LWD.Rettenbachferner,Rettenbachferner,647426.278193018,5199490.268903301,2970.0
AT_LWD.Rifflsee_Muttenkopf,Rifflsee Muttenkopf,641136.4570815142,5202795.525469952,2293.0
AT_LWD.Rifflsee_Talstation_Grubenkopf,Rifflsee Talstation Grubenkopf,640897.8672604617,5202671.582043114,2227.0
AT_LWD.Rosskar,Rosskar,655815.530932122,5191583.226116921,2680.0
AT_LWD.Rotadl,Rotadl,660215.7635347969,5205909.805223381,3010.0
AT_LWD.Roter_Schrofen,Roter Schrofen,630520.6604879728,5211041.527343512,2700.0
AT_LWD.Salzboden,Salzboden,596147.4051221731,5217241.974650563,1985.0
AT_LWD.Schartlkopf,Schartlkopf,618953.8488398878,5195194.327724002,2800.0
AT_LWD.Schaufeljoch,Schaufeljoch,660548.1850571627,5204793.062910906,3160.0
AT_LWD.Schlicker_Alm,Schlicker Alm,674593.9850404554,5224899.397811116,1645.0
AT_LWD.Schockbichl,Schöckbichl,665508.8716545961,5210506.160276261,2520.0
AT_LWD.Schwarze_Schneid,Schwarze Schneid,646833.3301003055,5198522.72396635,3370.0
AT_LWD.Seirlocher_Kogel,Seirlöcher Kogel,640769.3590874134,5210597.1111389315,2410.0
AT_LWD.Sennjoch,Sennjoch,674112.4358068921,5223021.080760601,2230.0
AT_LWD.Serfaus_Masner,Serfaus Masner,613119.0289750593,5208474.076970484,2491.0
AT_LWD.Serfaus_Masnerkopf,Serfaus Masnerkopf,611953.9438584007,5207632.750999816,2824.0
AT_LWD.Silberspitze_Schneemessung,Silberspitze Schneemessung,618663.2512053896,5226876.593141509,1941.0
AT_LWD.Silberspitze_Windstation,Silberspitze Windstation,619139.5090986069,5226833.050259548,2457.0
AT_LWD.Solden_Kreuzspitze,Sölden Kreuzspitze,642652.769379679,5186458.818128896,3453.0
AT_LWD.Sonnbergalm,Sonnbergalm,653196.0555017784,5193163.224636302,2529.0
AT_LWD.Speicherteich_Axamer_Lizum,Speicherteich Axamer Lizum,673358.5104782428,5227718.401214123,2103.0
AT_LWD.Speicherteich_Panorama,Speicherteich Panorama,647583.0335230024,5197932.23201147,2898.0
AT_LWD.Tscheyegg,Tscheyegg,619645.6291198431,5194029.889336986,2668.0
AT_LWD.Valdafur,Valdafur,619288.0659631144,5194311.440752604,2500.0
AT_LWD.Vorderegg,Vorderegg,646395.0634224609,5192909.464905743,2200.0
AT_LWD.Vorderer_Maldonkopf,Vorderer Maldonkopf,626149.6687728498,5237083.757411261,2580.0
AT_LWD.Weisssee_LWD,Weisssee LWD,630645.3677747233,5192467.501001766,2480.0
AT_LWD.Westliches_Gamshorn,Westliches Gamshorn,590678.4912312278,5194298.677520541,2997.0
AT_LWD.Zirmkogel_Windstation,Zirmkogel Windstation,651530.7280799411,5193903.144307056,3274.31
AT_UIBK_Rofental.BellaVista,BellaVista,636740.1632023959,5182590.435963882,2805.0
AT_UIBK_Rofental.Latschbloder,Latschbloder,637854.6095471145,5184641.597291021,2919.0
AT_UIBK_Rofental.Proviantdepot,Proviantdepot,639115.0099397108,5187833.757550871,2737.0
CH_MeteoSwiss.Martina,Martina,611467.4740371165,5193313.769256479,1041.0
CH_SLF.Alpetta,Alpetta,609832.0018957955,5198592.051223439,2729.0
CH_SLF.Piz_Alpetta_VIN1,Piz Alpetta,610330.6213053089,5198270.099487277,2975.0
CH_SLF.Ravaischer_Salaas,Ravaischer Salaas,601830.2287411005,5201186.052402798,2512.0
IT_PC_Bolzano.Elferspitze_Cima_Undici,Elferspitze/Cima Undici,613581.9999999999,5181426.0,2925.0
IT_PC_Bolzano.Grawand_Croda_delle_Cornacchie,Grawand/Croda delle Cornacchie,637174.0000000012,5181201.000000001,3220.0
IT_PC_Bolzano.Grub_Langtaufers_Grub_Vallelunga,Grub - Langtaufers/Grub - Vallelunga,624526.9999999971,5188294.999999999,1845.0
IT_PC_Bolzano.Grunboden_Prati_di_Plan,Grünboden/Prati di Plan,660331.3036917269,5184165.743676209,1997.0
IT_PC_Bolzano.Ladurns_Ladurns,Ladurns/Ladurns,680116.9999999967,5200634.000000005,1961.0
IT_PC_Bolzano.Pfelders_Plan,Pfelders/Plan,659362.0000000009,5184669.000000005,1623.0
IT_PC_Bolzano.Pflersch_Fleres_31410MS,Pflersch/Fleres,681034.0000000037,5202992.000000001,1154.0
IT_PC_Bolzano.Platt_Plata_20910MS,Platt/Plata,665995.9999999999,5187624.0000000065,1145.0
IT_PC_Bolzano.Pratznerberg_Monte_Pratzen,Pratznerberg/Monte Pratzen,623873.9999999962,5189422.000000006,2465.0
IT_PC_Bolzano.Rauhjoch_Giogo_Scabro,Rauhjoch/Giogo Scabro,661276.0000000024,5188318.999999997,2926.0
IT_PC_Bolzano.Ridnaun_Ridanna,Ridnaun/Ridanna,675667.9999999993,5197644.000000005,1364.0
IT_PC_Bolzano.Schoneben_Belpiano,Schöneben/Belpiano,614326.0000000037,5184760.000000002,2035.0
IT_PC_Bolzano.Signalgipfel_Wilder_Freiger_Anticima_Cima_Libera,Signalgipfel Wilder Freiger/Anticima Cima Libera,666808.9999999974,5203984.000000006,3392.0
IT_PC_Bolzano.St_Jakob_in_Pfitsch_San_Giacomo_Val_di_Vizze,St.Jakob in Pfitsch/San Giacomo - Val di Vizze,697646.9999999992,5204620.000000002,1438.0
IT_PC_Bolzano.St_Valentin_auf_der_Haide_S_Valentino_alla_Muta,St.Valentin auf der Haide/S.Valentino alla Muta,616720.000000001,5181393.000000001,1500.0
IT_PC_Bolzano.Sterzing_Flughafen_Vipiteno_aeroporto,Sterzing Flughafen/Vipiteno aeroporto,685786.0000000015,5195276.999999999,939.0
IT_PC_Bolzano.Teufelsegg_Giovo_del_Diavolo,Teufelsegg/Giovo del Diavolo,634695.999999998,5182751.000000003,3035.0
IT_PC_Bolzano.Timmelsalm_Alpe_del_Tumulo,Timmelsalm/Alpe del Tumulo,663615.0000000037,5197801.000000005,2230.0
IT_PC_Bolzano.Vernagt_Finail_Vernago_Finail,Vernagt Finail/Vernago Finail,639219.9999999963,5178015.0,1950.0
IT_PC_Bolzano.Vernagt_Vernago,Vernagt/Vernago,641282.9999999967,5177449.999999999,1698.0
