date,sw_in,hs,rel_hum,temp,precip
2022-10-01 00:00:00,0.0,311.0,88.9166666666667,270.616666666667,0.0
2022-10-01 01:00:00,0.0,310.0,92.0,270.6,0.0
2022-10-01 02:00:00,0.0,306.666666666667,94.6833333333333,270.616666666667,0.0
2022-10-01 03:00:00,0.0,306.833333333333,94.3,270.733333333333,0.0
2022-10-01 04:00:00,0.0,309.5,84.6333333333334,271.016666666667,0.0
2022-10-01 05:00:00,0.0,309.166666666667,82.0833333333333,270.8,0.0
2022-10-01 06:00:00,0.0,309.166666666667,74.15,270.933333333333,0.0
2022-10-01 07:00:00,75.8333333333333,304.333333333333,61.2166666666667,272.183333333333,0.0
2022-10-01 08:00:00,112.666666666667,289.5,62.3666666666667,272.166666666667,0.0
2022-10-01 09:00:00,234.666666666667,291.666666666667,49.9333333333333,273.133333333333,0.0
2022-10-01 10:00:00,226.833333333333,288.0,53.4166666666667,272.916666666667,0.0
2022-10-01 11:00:00,254.666666666667,290.333333333333,40.0833333333333,273.233333333333,0.0
2022-10-01 12:00:00,332.833333333333,281.666666666667,73.1833333333333,272.666666666667,0.0
2022-10-01 13:00:00,225.166666666667,286.333333333333,87.9166666666667,272.333333333333,0.2
2022-10-01 14:00:00,230.166666666667,297.333333333333,83.65,272.9,0.2
2022-10-01 15:00:00,236.166666666667,296.166666666667,88.8666666666667,272.85,0.2
2022-10-01 16:00:00,153.666666666667,296.833333333333,96.2333333333333,272.333333333333,0.4
2022-10-01 17:00:00,66.6666666666667,300.333333333333,99.0666666666667,271.833333333333,1.0
2022-10-01 18:00:00,15.0,316.0,98.25,271.766666666667,1.6
2022-10-01 19:00:00,0.166666666666667,326.333333333333,99.7,271.15,3.0
2022-10-01 20:00:00,0.0,329.833333333333,99.7,270.883333333333,2.4
2022-10-01 21:00:00,0.0,331.666666666667,99.7,270.766666666667,3.8
2022-10-01 22:00:00,0.0,376.833333333333,99.7,270.65,2.8
2022-10-01 23:00:00,0.0,394.666666666667,99.7,270.866666666667,3.4
2022-10-02 00:00:00,0.0,424.333333333333,99.7,270.716666666667,3.2
2022-10-02 01:00:00,0.0,441.0,99.7,270.733333333333,3.2
2022-10-02 02:00:00,0.0,456.166666666667,99.7,271.433333333333,1.4
2022-10-02 03:00:00,0.0,463.0,99.7,272.083333333333,1.2
2022-10-02 04:00:00,0.0,464.166666666667,99.6833333333333,272.183333333333,1.4
2022-10-02 05:00:00,0.0,469.5,98.35,272.7,0.400000000000002
2022-10-02 06:00:00,0.0,468.5,98.3,272.8,0.599999999999998
2022-10-02 07:00:00,10.8333333333333,475.5,98.55,273.016666666667,0.400000000000002
2022-10-02 08:00:00,64.3333333333333,462.333333333333,93.6166666666667,273.666666666667,0.2
2022-10-02 09:00:00,119.166666666667,464.5,84.5166666666667,274.383333333333,0.2
2022-10-02 10:00:00,219.0,451.0,83.3,274.733333333333,0.0
2022-10-02 11:00:00,349.833333333333,429.5,88.7166666666667,274.5,1.0
2022-10-02 12:00:00,454.5,439.166666666667,82.0,275.216666666667,0.0
2022-10-02 13:00:00,313.333333333333,435.166666666667,83.7833333333334,275.383333333333,0.0
2022-10-02 14:00:00,261.333333333333,425.166666666667,91.9,274.916666666667,0.2
2022-10-02 15:00:00,236.0,420.333333333333,76.5,275.616666666667,0.2
2022-10-02 16:00:00,211.166666666667,419.333333333333,76.0166666666667,275.766666666667,0.0
2022-10-02 17:00:00,148.166666666667,424.333333333333,72.2666666666667,275.133333333333,0.2
2022-10-02 18:00:00,24.1666666666667,420.166666666667,68.0666666666667,274.966666666667,0.0
2022-10-02 19:00:00,0.166666666666667,407.0,77.6,274.283333333333,0.0
2022-10-02 20:00:00,0.0,398.166666666667,82.2,273.666666666667,0.0
2022-10-02 21:00:00,0.0,386.666666666667,89.15,273.066666666667,2.2
2022-10-02 22:00:00,0.0,398.666666666667,81.8666666666667,273.033333333333,0.8
2022-10-02 23:00:00,0.0,394.166666666667,93.0833333333333,271.966666666667,0.2
2022-10-03 00:00:00,0.0,394.833333333333,95.1166666666667,271.75,0.6
2022-10-03 01:00:00,0.0,364.833333333333,99.3833333333333,271.366666666667,1.8
2022-10-03 02:00:00,0.0,386.5,99.7,271.333333333333,1.6
2022-10-03 03:00:00,0.0,409.5,99.0666666666667,271.766666666667,0.4
2022-10-03 04:00:00,0.0,383.333333333333,96.8666666666667,271.733333333333,0.6
2022-10-03 05:00:00,0.0,376.333333333333,96.1666666666667,271.516666666667,0.200000000000001
2022-10-03 06:00:00,0.0,375.833333333333,96.25,271.5,0.4
2022-10-03 07:00:00,45.8333333333333,377.833333333333,99.5166666666667,270.916666666667,0.6
2022-10-03 08:00:00,317.5,373.5,88.3666666666667,271.266666666667,0.0
2022-10-03 09:00:00,439.0,363.166666666667,80.1,271.266666666667,0.0
2022-10-03 10:00:00,572.666666666667,348.666666666667,64.2,271.533333333333,0.0
2022-10-03 11:00:00,688.166666666667,349.666666666667,64.2,271.583333333333,0.0
2022-10-03 12:00:00,746.833333333333,348.666666666667,59.7166666666667,271.916666666667,0.0
2022-10-03 13:00:00,749.833333333333,343.166666666667,50.0666666666667,272.966666666667,0.0
2022-10-03 14:00:00,689.166666666667,335.666666666667,46.6,273.583333333333,0.0
2022-10-03 15:00:00,572.333333333333,340.833333333333,56.8,273.466666666667,0.0
2022-10-03 16:00:00,413.166666666667,339.166666666667,63.9,273.266666666667,0.0
2022-10-03 17:00:00,159.5,341.666666666667,64.85,273.133333333333,0.0
2022-10-03 18:00:00,20.0,350.5,61.8,272.966666666667,0.0
2022-10-03 19:00:00,0.166666666666667,348.0,47.5166666666667,273.2,0.0
2022-10-03 20:00:00,0.0,345.333333333333,41.0333333333333,273.3,0.0
2022-10-03 21:00:00,0.0,340.666666666667,37.0666666666667,273.133333333333,0.0
2022-10-03 22:00:00,0.0,341.5,40.85,272.883333333333,0.0
2022-10-03 23:00:00,0.0,346.0,37.3166666666667,273.183333333333,0.0
2022-10-04 00:00:00,0.0,344.666666666667,34.95,273.6,0.0
2022-10-04 01:00:00,0.0,344.333333333333,35.3833333333333,273.916666666667,0.0
2022-10-04 02:00:00,0.0,339.166666666667,32.2166666666667,274.35,0.0
2022-10-04 03:00:00,0.0,338.833333333333,30.7666666666667,274.4,0.0
2022-10-04 04:00:00,0.0,338.833333333333,31.2166666666667,274.283333333333,0.0
2022-10-04 05:00:00,0.0,338.666666666667,30.9833333333333,274.316666666667,0.0
2022-10-04 06:00:00,0.0,339.5,30.7333333333333,274.416666666667,0.0
2022-10-04 07:00:00,34.3333333333333,337.666666666667,30.3666666666667,274.5,0.0
2022-10-04 08:00:00,192.5,328.833333333333,26.45,275.4,0.0
2022-10-04 09:00:00,298.666666666667,324.833333333333,27.25,275.566666666667,0.0
2022-10-04 10:00:00,436.166666666667,329.333333333333,26.9333333333333,275.75,0.0
2022-10-04 11:00:00,493.833333333333,320.666666666667,25.6833333333333,276.433333333333,0.0
2022-10-04 12:00:00,493.833333333333,314.666666666667,27.4,276.683333333333,0.0
2022-10-04 13:00:00,575.166666666667,309.333333333333,27.85,277.15,0.0
2022-10-04 14:00:00,568.833333333333,300.833333333333,29.0,277.583333333333,0.0
2022-10-04 15:00:00,506.166666666667,305.666666666667,27.55,277.75,0.0
