date,rel_hum,temp,wind_dir,wind_speed
2022-10-01 00:00:00,100.85,270.15,104.0,2.23666666666667
2022-10-01 01:00:00,100.616666666667,270.483333333333,104.0,2.81
2022-10-01 02:00:00,100.566666666667,270.366666666667,104.0,2.6
2022-10-01 03:00:00,99.5166666666667,270.666666666667,104.0,2.81
2022-10-01 04:00:00,97.85,270.533333333333,104.0,2.17833333333333
2022-10-01 05:00:00,98.65,270.2,104.0,0.79
2022-10-01 06:00:00,79.5666666666667,270.85,104.0,3.28666666666667
2022-10-01 07:00:00,72.6666666666667,271.216666666667,104.0,3.125
2022-10-01 08:00:00,61.2,271.783333333333,104.0,4.97166666666667
2022-10-01 09:00:00,50.8666666666667,272.283333333333,104.0,3.93
2022-10-01 10:00:00,47.8666666666667,272.5,104.0,4.19333333333333
2022-10-01 11:00:00,47.7833333333333,272.433333333333,104.0,5.175
2022-10-01 12:00:00,69.6333333333334,272.0,104.0,4.96
2022-10-01 13:00:00,89.0166666666667,271.9,104.0,4.33833333333333
2022-10-01 14:00:00,93.15,272.166666666667,104.0,6.155
2022-10-01 15:00:00,90.6833333333333,272.166666666667,104.0,5.28
2022-10-01 16:00:00,100.55,271.283333333333,104.0,3.86
2022-10-01 17:00:00,101.433333333333,270.8,104.0,4.19833333333333
2022-10-01 18:00:00,101.533333333333,270.683333333333,104.0,3.83666666666667
2022-10-01 19:00:00,101.55,270.516666666667,104.0,5.135
2022-10-01 20:00:00,101.55,270.433333333333,104.0,5.11
2022-10-01 21:00:00,101.5,270.35,104.0,4.97166666666667
2022-10-01 22:00:00,101.583333333333,270.466666666667,104.0,4.35666666666667
2022-10-01 23:00:00,101.783333333333,270.783333333333,104.0,4.68333333333333
2022-10-02 00:00:00,101.766666666667,270.55,104.0,4.89666666666667
2022-10-02 01:00:00,101.7,270.3,100.958161386245,4.71442476945231
2022-10-02 02:00:00,101.783333333333,270.616666666667,98.0,5.98333333333333
2022-10-02 03:00:00,102.0,271.066666666667,97.8141171181448,6.58984810652411
2022-10-02 04:00:00,102.15,271.25,96.0648630455059,8.17064942919757
2022-10-02 05:00:00,102.333333333333,271.633333333333,89.3359692525853,8.16534913522063
2022-10-02 06:00:00,102.4,271.733333333333,132.556265726102,7.38439353703994
2022-10-02 07:00:00,102.5,272.116666666667,130.157462789412,8.42083423326999
2022-10-02 08:00:00,102.5,272.35,139.844836551731,7.86489126355365
2022-10-02 09:00:00,102.5,272.6,181.179190434342,7.13772985398972
2022-10-02 10:00:00,102.55,272.766666666667,216.864082202127,8.41241961000416
2022-10-02 11:00:00,102.616666666667,273.133333333333,248.707222301246,4.72123853228983
2022-10-02 12:00:00,102.416666666667,273.3,313.254489372099,5.57655808575027
2022-10-02 13:00:00,101.933333333333,273.683333333333,346.049988894919,6.14346566180776
2022-10-02 14:00:00,101.916666666667,273.766666666667,14.0767283653506,4.22345864580874
2022-10-02 15:00:00,102.1,273.716666666667,296.525297531529,5.54694755660513
2022-10-02 16:00:00,96.8,274.35,338.438556991011,6.2663569274583
2022-10-02 17:00:00,75.55,274.333333333333,149.568601345783,7.82471581305382
2022-10-02 18:00:00,72.0666666666667,273.916666666667,184.950810930511,7.35166414179953
2022-10-02 19:00:00,71.0333333333334,273.566666666667,251.029465458875,8.93070195477443
2022-10-02 20:00:00,72.05,273.266666666667,278.931372562031,11.4558491047505
2022-10-02 21:00:00,96.9333333333334,272.066666666667,280.0,8.57
2022-10-02 22:00:00,84.5333333333334,272.25,280.0,7.23666666666667
2022-10-02 23:00:00,89.7166666666667,271.633333333333,280.0,7.12
2022-10-03 00:00:00,99.8166666666667,270.766666666667,280.0,5.91666666666667
2022-10-03 01:00:00,101.766666666667,270.6,280.0,6.17666666666667
2022-10-03 02:00:00,101.65,270.183333333333,280.0,6.25166666666667
2022-10-03 03:00:00,101.633333333333,270.416666666667,280.0,3.96333333333333
2022-10-03 04:00:00,101.7,270.466666666667,280.0,1.51
2022-10-03 05:00:00,101.733333333333,270.466666666667,280.0,0.97
2022-10-03 06:00:00,101.683333333333,270.283333333333,280.0,0.35
2022-10-03 07:00:00,101.633333333333,270.2,,0.0
2022-10-03 08:00:00,101.35,269.916666666667,,0.0
2022-10-03 09:00:00,101.033333333333,269.9,,0.0
2022-10-03 10:00:00,100.766666666667,270.366666666667,,0.0
2022-10-03 11:00:00,100.083333333333,271.166666666667,,0.0
