date,temp,rel_hum,wind_dir,wind_speed
2022-10-01 00:00:00,269.85,100.0,65.2906969639064,3.84527742031898
2022-10-01 01:00:00,269.75,100.0,63.948749999683,3.99999847786493
2022-10-01 02:00:00,269.45,100.0,66.6688174376866,4.64991349219958
2022-10-01 03:00:00,269.15,100.0,63.0086134791444,6.44231116119228
2022-10-01 04:00:00,268.9,100.0,64.5216450968344,5.63297773058656
2022-10-01 05:00:00,268.8,100.0,65.761115372843,6.04574829028664
2022-10-01 06:00:00,269.05,100.0,57.7136787692623,5.84771933963607
2022-10-01 07:00:00,269.2,100.0,52.0093985727805,5.91581738226182
2022-10-01 08:00:00,269.55,100.0,48.6011601877283,4.14860288097375
2022-10-01 09:00:00,268.9,100.0,33.7529455160674,5.09937300286416
2022-10-01 10:00:00,269.75,100.0,50.3569056719431,2.54546005741682
2022-10-01 11:00:00,271.0,100.0,7.25225183736723,1.87738142090028
2022-10-01 12:00:00,271.25,100.0,325.11110540554,8.09922019254369
2022-10-01 13:00:00,271.25,100.0,322.151315789808,7.59999710813876
2022-10-01 14:00:00,271.4,100.0,321.724989074704,6.39860185775117
2022-10-01 15:00:00,271.45,100.0,315.75,5.99997943833591
2022-10-01 16:00:00,271.2,100.0,321.860273995965,7.29997510066998
2022-10-01 17:00:00,271.05,100.0,319.541764603502,8.49984149685102
2022-10-01 18:00:00,271.1,100.0,321.077642635616,8.08658715411322
2022-10-01 19:00:00,271.4,100.0,313.566797784538,7.34333397973402
2022-10-01 20:00:00,271.5,100.0,312.303069074309,7.17652565791726
2022-10-01 21:00:00,271.6,100.0,319.836837473702,8.4360124090709
2022-10-01 22:00:00,271.55,100.0,314.216071475412,6.19362417760608
2022-10-01 23:00:00,271.65,100.0,311.148514851109,5.04999807879917
2022-10-02 00:00:00,271.55,100.0,317.92892407459,6.04933466106675
2022-10-02 01:00:00,271.8,100.0,318.832833516137,6.6986507765645
2022-10-02 02:00:00,272.25,100.0,315.318717885112,6.94284583053489
2022-10-02 03:00:00,272.35,100.0,316.132373882032,6.94987065743819
2022-10-02 04:00:00,272.3,100.0,317.678886026935,7.33493599650978
2022-10-02 05:00:00,272.5,100.0,316.554180531375,8.58035437615477
2022-10-02 06:00:00,272.7,100.0,317.898941794644,9.44994242897786
2022-10-02 07:00:00,272.8,100.0,319.056544544122,9.54990915318226
2022-10-02 08:00:00,273.0,100.0,324.016801513295,8.04433855405204
2022-10-02 09:00:00,273.05,100.0,321.711111833084,7.19929830825691
2022-10-02 10:00:00,273.1,100.0,325.827820104237,7.54774713758069
2022-10-02 11:00:00,273.4,100.0,329.406666673406,7.49998862761925
2022-10-02 12:00:00,273.7,100.0,335.148619946037,7.36817427848214
2022-10-02 13:00:00,274.0,100.0,340.102638157263,5.5976965760419
2022-10-02 14:00:00,274.1,100.0,338.928230229686,5.31545492916359
2022-10-02 15:00:00,274.45,93.0,339.257376374523,5.24285795426864
2022-10-02 16:00:00,274.45,83.2,337.559937555028,6.74548681293283
2022-10-02 17:00:00,273.95,86.45,342.101295931227,7.69934310401079
2022-10-02 18:00:00,273.4,90.85,338.500027421544,9.89728598900524
2022-10-02 19:00:00,272.95,95.55,342.95907457394,10.1435166806429
2022-10-02 20:00:00,272.2,99.25,343.907678888327,9.09801603026006
2022-10-02 21:00:00,271.65,99.25,351.184177913894,7.8997577508898
2022-10-02 22:00:00,271.3,100.0,348.89487171157,7.79980995074515
2022-10-02 23:00:00,271.4,100.0,348.563769377513,6.89905175653972
2022-10-03 00:00:00,271.3,100.0,337.866663613003,5.76310414156087
2022-10-03 01:00:00,271.3,100.0,327.965796125782,7.59884749359626
2022-10-03 02:00:00,271.5,100.0,340.350556539059,7.88170873749526
2022-10-03 03:00:00,271.8,100.0,346.418975829192,6.84924722306015
2022-10-03 04:00:00,271.65,100.0,350.873499918046,5.09705114362023
2022-10-03 05:00:00,271.6,100.0,342.906867667681,5.24235168847915
2022-10-03 06:00:00,271.05,100.0,343.700131663308,3.84746710247788
2022-10-03 07:00:00,271.05,100.0,344.846202270188,3.7971210782429
2022-10-03 08:00:00,271.4,100.0,354.029896045569,4.84968820230143
2022-10-03 09:00:00,271.25,100.0,3.85369141835872,5.37566459975349
2022-10-03 10:00:00,271.6,100.0,359.757500103112,4.23823744777206
2022-10-03 11:00:00,271.35,100.0,1.1122449475065,4.89997025942368
2022-10-03 12:00:00,271.6,100.0,346.460875501527,3.88857384702103
2022-10-03 13:00:00,271.7,100.0,350.658359448139,3.5975840838024
2022-10-03 14:00:00,271.8,100.0,2.20012700081486,4.04691615965025
2022-10-03 15:00:00,272.0,100.0,5.02442656324115,4.09820509021238
2022-10-03 16:00:00,272.1,99.5,4.38204201634181,4.28909071439039
2022-10-03 17:00:00,271.0,89.05,348.773982168083,6.1278416678457
2022-10-03 18:00:00,270.9,74.15,337.804410890334,5.64876872294909
2022-10-03 19:00:00,270.85,65.55,339.597006639186,5.19445765292559
2022-10-03 20:00:00,271.65,49.3,338.172730878015,5.49869158166902
2022-10-03 21:00:00,272.05,49.8,332.880435158316,4.5999148232804
2022-10-03 22:00:00,272.5,49.25,321.629629004777,4.04981366019182
2022-10-03 23:00:00,273.1,47.5,331.5,4.45942439871676
2022-10-04 00:00:00,273.55,44.75,342.646323552296,4.63691238639659
2022-10-04 01:00:00,273.65,44.55,345.269734396584,4.94601591913173
2022-10-04 02:00:00,273.9,42.6,344.321428218405,4.89990918621977
2022-10-04 03:00:00,274.05,41.3,341.965203022155,5.29250315696346
2022-10-04 04:00:00,274.25,39.15,352.035581836214,6.16590925310246
2022-10-04 05:00:00,274.45,37.25,356.83798906854,7.24282941722589
2022-10-04 06:00:00,274.9,35.05,356.334848389047,6.59993740352835
2022-10-04 07:00:00,275.05,34.25,354.284481482632,5.79928468110937
2022-10-04 08:00:00,274.95,35.35,355.69997074648,5.09776305548738
2022-10-04 09:00:00,275.5,32.9,1.19999999999999,5.69957460706458
2022-10-04 10:00:00,275.9,31.4,3.30000000000001,4.79677629013755
2022-10-04 11:00:00,275.85,34.5,14.4491671360629,4.41297896134778
2022-10-04 12:00:00,276.25,38.05,23.9623606123495,3.44866874330253
2022-10-04 13:00:00,276.6,38.85,28.9209657373063,3.73194107269527
2022-10-04 14:00:00,277.0,37.2,22.5883642087558,4.38392762461104
2022-10-04 15:00:00,277.3,36.15,9.44999999999999,3.79878319450713
2022-10-04 16:00:00,277.05,36.05,4.23717553522454,5.64831460619855
2022-10-04 17:00:00,276.5,35.75,11.4219674816209,6.1431731825372
2022-10-04 18:00:00,276.25,34.0,12.3732475230157,5.04439441843015
2022-10-04 19:00:00,276.7,25.9,10.1869186371613,4.93996021458957
2022-10-04 20:00:00,277.05,22.35,12.9798511271645,4.56563379168786
2022-10-04 21:00:00,277.55,19.8,12.3783787290487,5.54989713020025
2022-10-04 22:00:00,278.1,17.4,5.398927258691,5.5405354329168
2022-10-04 23:00:00,278.45,15.7,3.52727203035755,6.04972173413476
2022-10-05 00:00:00,278.25,16.2,358.815373256236,4.54958010451464
2022-10-05 01:00:00,278.0,17.0,12.2857303842562,3.17801468624961
2022-10-05 02:00:00,278.2,16.05,28.3292638483064,1.52729732161167
2022-10-05 03:00:00,278.6,25.15,24.3800002729382,0.999994882435038
2022-10-05 04:00:00,279.1,36.75,114.120028230485,3.49945115874103
2022-10-05 05:00:00,279.15,28.45,115.3,5.28437958680268
2022-10-05 06:00:00,279.45,37.7,100.208964315502,5.04628685355147
2022-10-05 07:00:00,280.1,37.85,84.6166975514431,4.16019236976509
2022-10-05 08:00:00,280.95,45.1,72.75,3.86795440250535
2022-10-05 09:00:00,281.4,44.5,56.8765652350025,2.6367094011614
2022-10-05 10:00:00,281.45,44.45,90.1621602849607,3.69972467458817
2022-10-05 11:00:00,280.9,42.5,106.699912390988,4.13912032246996
2022-10-05 12:00:00,280.8,42.85,121.05,4.9979268409687
2022-10-05 13:00:00,281.4,40.95,121.028312725336,5.64930739537162
2022-10-05 14:00:00,281.55,39.75,123.340005843179,5.99868556311943
2022-10-05 15:00:00,281.9,39.75,116.455068222747,5.4466825229543
2022-10-05 16:00:00,281.8,40.25,115.470587491244,5.94977422618361
2022-10-05 17:00:00,280.9,42.95,116.45,6.69987499301508
2022-10-05 18:00:00,280.25,45.2,114.230769109448,6.49993849081263
2022-10-05 19:00:00,280.0,44.95,110.585024889464,5.99736576426444
2022-10-05 20:00:00,279.7,41.65,110.857143381166,5.9493453021415
2022-10-05 21:00:00,279.75,32.65,96.7024872225449,4.02857588128136
2022-10-05 22:00:00,279.6,31.25,17.4888286025824,0.830914989616613
2022-10-05 23:00:00,278.95,37.1,351.793960531822,3.25852675386636
2022-10-06 00:00:00,278.3,36.7,4.09358196713117,5.44925244416671
2022-10-06 01:00:00,277.65,35.35,12.0998634198946,5.194678653911
