date,temp,precip,rel_hum,air_pres
2022-10-02 20:00:00,285.8,0.0,39.8,831.933333333333
2022-10-02 21:00:00,285.083333333333,0.0,45.8166666666667,831.85
2022-10-02 22:00:00,285.0,0.0,42.1,831.866666666667
2022-10-02 23:00:00,285.0,0.0,39.5666666666667,832.166666666667
2022-10-03 00:00:00,283.7,0.0,52.3833333333333,832.266666666667
2022-10-03 01:00:00,282.6,0.0,58.1,832.366666666667
2022-10-03 02:00:00,282.083333333333,0.0,65.6333333333333,832.45
2022-10-03 03:00:00,280.716666666667,0.0,80.5833333333334,832.433333333333
2022-10-03 04:00:00,280.883333333333,0.0,76.25,832.416666666667
2022-10-03 05:00:00,282.75,0.0,53.5166666666667,832.6
2022-10-03 06:00:00,282.25,0.0,59.5833333333333,832.916666666667
2022-10-03 07:00:00,282.7,0.0,48.3833333333333,833.25
2022-10-03 08:00:00,282.316666666667,0.0,41.2,833.716666666667
2022-10-03 09:00:00,283.6,0.0,27.6833333333333,834.1
2022-10-03 10:00:00,285.183333333333,0.0,23.6333333333333,834.25
2022-10-03 11:00:00,286.25,0.0,21.3666666666667,834.316666666667
2022-10-03 12:00:00,287.583333333333,0.0,16.8333333333333,834.05
2022-10-03 13:00:00,288.566666666667,0.0,16.85,834.216666666667
2022-10-03 14:00:00,288.883333333333,0.0,19.0666666666667,834.15
2022-10-03 15:00:00,288.616666666667,0.0,19.5666666666667,834.033333333333
2022-10-03 16:00:00,288.766666666667,0.0,20.3333333333333,834.066666666667
2022-10-03 17:00:00,286.983333333333,0.0,28.4833333333333,833.95
2022-10-03 18:00:00,284.65,0.0,30.1833333333333,834.066666666667
2022-10-03 19:00:00,283.45,0.0,33.6666666666667,834.383333333333
2022-10-03 20:00:00,282.016666666667,0.0,38.7666666666667,834.633333333333
2022-10-03 21:00:00,281.316666666667,0.0,37.5833333333333,834.85
2022-10-03 22:00:00,281.15,0.0,37.2166666666667,834.966666666667
2022-10-03 23:00:00,279.733333333333,0.0,44.3333333333333,834.95
2022-10-04 00:00:00,278.7,0.0,46.7333333333334,834.933333333333
2022-10-04 01:00:00,278.35,0.0,45.8833333333333,834.8
2022-10-04 02:00:00,277.716666666667,0.0,49.7166666666667,834.716666666667
2022-10-04 03:00:00,277.466666666667,0.0,49.6333333333333,834.45
2022-10-04 04:00:00,277.3,0.0,50.05,834.15
2022-10-04 05:00:00,276.983333333333,0.0,51.3333333333333,834.083333333333
2022-10-04 06:00:00,277.05,0.0,50.55,834.133333333333
2022-10-04 07:00:00,276.9,0.0,51.3833333333333,834.316666666667
2022-10-04 08:00:00,277.5,0.0,53.4166666666667,834.533333333333
2022-10-04 09:00:00,280.25,0.0,48.7,834.85
2022-10-04 10:00:00,282.4,0.0,44.6666666666667,834.966666666667
2022-10-04 11:00:00,283.366666666667,0.0,39.5166666666667,835.283333333333
2022-10-04 12:00:00,284.083333333333,0.0,39.6333333333333,835.283333333333
2022-10-04 13:00:00,285.25,0.0,35.8666666666667,835.366666666667
2022-10-04 14:00:00,286.3,0.0,34.8833333333333,835.016666666667
2022-10-04 15:00:00,286.75,0.0,33.0333333333333,834.983333333333
2022-10-04 16:00:00,286.633333333333,0.0,32.5,835.066666666667
2022-10-04 17:00:00,285.266666666667,0.0,42.75,835.216666666667
2022-10-04 18:00:00,283.0,0.0,51.8,835.633333333333
2022-10-04 19:00:00,281.416666666667,0.0,55.7,836.516666666667
2022-10-04 20:00:00,280.5,0.0,54.6333333333333,837.0
2022-10-04 21:00:00,280.3,0.0,51.75,837.3
2022-10-04 22:00:00,279.983333333333,0.0,51.4833333333333,837.583333333333
2022-10-04 23:00:00,279.033333333333,0.0,59.5166666666667,838.05
2022-10-05 00:00:00,279.1,0.0,58.6666666666667,838.3
2022-10-05 01:00:00,278.866666666667,0.0,60.4166666666667,838.383333333333
2022-10-05 02:00:00,278.366666666667,0.0,63.8666666666667,838.5
2022-10-05 03:00:00,278.583333333333,0.0,60.1833333333333,838.283333333333
2022-10-05 04:00:00,278.666666666667,0.0,61.2333333333334,837.966666666667
2022-10-05 05:00:00,278.5,0.0,66.0,837.85
2022-10-05 06:00:00,278.516666666667,0.0,69.5,837.883333333333
