date,rel_hum,temp,wind_dir,wind_speed
2022-10-01 00:00:00,101.3,270.066666666667,64.4820573459521,1.98228160455517
2022-10-01 01:00:00,101.3,270.316666666667,93.2245286319419,1.99526636593613
2022-10-01 02:00:00,101.3,270.316666666667,197.848433676664,0.879808128502008
2022-10-01 03:00:00,101.3,270.366666666667,198.611145618425,0.78424064280582
2022-10-01 04:00:00,101.3,270.083333333333,194.343501144717,1.10291282111867
2022-10-01 05:00:00,101.3,269.6,133.487584411255,2.14102409415343
2022-10-01 06:00:00,101.3,269.433333333333,128.579717039566,2.15654293639144
2022-10-01 07:00:00,101.3,270.033333333333,309.359220285679,0.371826169852146
2022-10-01 08:00:00,98.6833333333333,270.45,297.91064507833,2.59667905894223
2022-10-01 09:00:00,89.7166666666667,270.783333333333,298.640064525437,1.66018306666672
2022-10-01 10:00:00,76.1166666666667,271.15,308.227037241088,2.55059101640222
2022-10-01 11:00:00,71.1333333333333,271.35,299.410165853546,2.50440152760456
2022-10-01 12:00:00,85.0833333333333,271.666666666667,356.710267596189,1.93152639088918
2022-10-01 13:00:00,101.3,271.65,5.92481395497009,3.44010567167859
2022-10-01 14:00:00,101.3,271.316666666667,344.46892812516,6.31631226530418
2022-10-01 15:00:00,101.3,271.616666666667,339.93595649966,5.62451569452626
2022-10-01 16:00:00,101.3,271.783333333333,359.802179616695,1.81641618664749
2022-10-01 17:00:00,101.3,271.733333333333,358.553298848759,2.18449078731389
2022-10-01 18:00:00,101.3,271.4,348.980975571202,4.60993367114239
2022-10-01 19:00:00,101.3,270.95,287.22644985848,1.00032703921409
2022-10-01 20:00:00,101.3,270.9,289.725156051642,3.13582772896715
2022-10-01 21:00:00,101.3,271.0,286.571427693244,4.16279107618823
2022-10-01 22:00:00,101.3,271.133333333333,287.936799172622,5.72164440700265
2022-10-01 23:00:00,101.3,271.25,286.736503450222,7.38322383181752
2022-10-02 00:00:00,101.3,270.883333333333,292.775577096548,7.30592627630389
2022-10-02 01:00:00,101.3,270.8,320.13919328507,1.93926609728896
2022-10-02 02:00:00,101.3,271.15,359.265650675515,3.40097899729559
2022-10-02 03:00:00,101.3,271.433333333333,314.717363021946,1.39597288427182
2022-10-02 04:00:00,101.3,271.55,142.888579425877,0.136765720414547
2022-10-02 05:00:00,101.3,271.75,309.610468863967,0.817303641481827
2022-10-02 06:00:00,101.3,271.983333333333,353.715517251381,4.84099355326055
2022-10-02 07:00:00,101.3,272.35,359.030380444536,2.79967159084911
2022-10-02 08:00:00,101.3,272.75,357.10690307907,4.33542821317319
2022-10-02 09:00:00,101.3,272.933333333333,350.461195587825,4.75615594389026
2022-10-02 10:00:00,101.3,273.083333333333,354.481882800663,5.09653955920634
2022-10-02 11:00:00,101.3,273.2,347.342787468434,4.54795499630409
2022-10-02 12:00:00,101.3,273.166666666667,348.082223121435,6.97831780926185
2022-10-02 13:00:00,101.3,273.216666666667,350.830155352362,3.17273079880736
2022-10-02 14:00:00,101.3,273.283333333333,335.104296075842,1.2203364528624
2022-10-02 15:00:00,101.3,273.333333333333,347.172805372767,2.74834424422296
2022-10-02 16:00:00,101.3,273.45,14.4840535795703,1.6226823923643
2022-10-02 17:00:00,101.3,273.233333333333,345.686565683278,4.91703608169693
2022-10-02 18:00:00,101.3,273.033333333333,356.266291706872,3.69486012359453
2022-10-02 19:00:00,101.3,272.9,353.455489496996,5.45288460217622
2022-10-02 20:00:00,101.3,272.666666666667,348.406658134679,8.72891134970177
2022-10-02 21:00:00,101.3,272.333333333333,345.989453396975,5.26393914592695
2022-10-02 22:00:00,101.3,271.85,347.514926196731,6.56088275008739
2022-10-02 23:00:00,101.3,271.383333333333,350.22578750824,4.17595075522106
2022-10-03 00:00:00,101.3,271.35,306.00166931553,3.93337660176203
2022-10-03 01:00:00,101.3,271.083333333333,290.44609791743,6.20983226985837
2022-10-03 02:00:00,101.3,270.833333333333,281.763959904434,4.61501340104112
2022-10-03 03:00:00,101.3,271.166666666667,278.258498044315,5.41477059569905
2022-10-03 04:00:00,101.3,271.15,293.556426538455,7.78046337503435
2022-10-03 05:00:00,101.3,270.916666666667,288.70862462936,6.890404063945
2022-10-03 06:00:00,101.3,270.416666666667,287.005908643303,4.69071021771066
