date,temp,sw_in,rel_hum,hs
2022-10-01 00:00:00,269.833333333333,0.0,98.0,398.333333333333
2022-10-01 01:00:00,270.1,0.0,98.0,386.833333333333
2022-10-01 02:00:00,270.25,0.0,98.0,388.0
2022-10-01 03:00:00,270.233333333333,0.0,97.6666666666667,402.0
2022-10-01 04:00:00,269.983333333333,0.0,96.6666666666667,415.166666666667
2022-10-01 05:00:00,269.35,0.0,92.5,427.333333333333
2022-10-01 06:00:00,268.85,0.0,90.8333333333333,433.666666666667
2022-10-01 07:00:00,269.95,35.0,84.1666666666667,435.0
2022-10-01 08:00:00,270.133333333333,104.833333333333,82.5,423.833333333333
2022-10-01 09:00:00,270.933333333333,226.5,70.5,420.166666666667
2022-10-01 10:00:00,271.566666666667,210.0,59.5,420.833333333333
2022-10-01 11:00:00,271.466666666667,271.333333333333,63.1666666666667,402.666666666667
2022-10-01 12:00:00,272.083333333333,421.166666666667,71.5,398.0
2022-10-01 13:00:00,272.85,391.5,81.8333333333333,389.0
2022-10-01 14:00:00,272.766666666667,295.0,80.8333333333333,395.5
2022-10-01 15:00:00,272.566666666667,244.166666666667,80.0,407.333333333333
2022-10-01 16:00:00,272.466666666667,164.166666666667,85.5,403.666666666667
2022-10-01 17:00:00,272.483333333333,65.8333333333333,84.5,398.166666666667
2022-10-01 18:00:00,272.333333333333,13.8333333333333,84.6666666666667,412.166666666667
2022-10-01 19:00:00,272.233333333333,0.0,83.8333333333333,429.0
2022-10-01 20:00:00,272.5,0.0,84.5,414.666666666667
2022-10-01 21:00:00,272.35,0.0,86.6666666666667,420.166666666667
2022-10-01 22:00:00,272.366666666667,0.0,89.5,420.833333333333
2022-10-01 23:00:00,272.583333333333,0.0,87.6666666666667,421.833333333333
2022-10-02 00:00:00,272.55,0.0,86.0,411.0
2022-10-02 01:00:00,272.2,0.0,89.5,407.333333333333
2022-10-02 02:00:00,272.683333333333,0.0,87.3333333333333,428.0
2022-10-02 03:00:00,273.016666666667,0.0,87.1666666666667,428.0
2022-10-02 04:00:00,273.133333333333,0.0,87.6666666666667,425.833333333333
2022-10-02 05:00:00,273.183333333333,0.0,87.0,415.166666666667
2022-10-02 06:00:00,273.283333333333,0.0,86.5,375.5
2022-10-02 07:00:00,273.483333333333,20.6666666666667,87.3333333333333,355.166666666667
2022-10-02 08:00:00,273.65,90.3333333333333,87.3333333333333,306.166666666667
2022-10-02 09:00:00,274.116666666667,249.666666666667,81.6666666666667,245.333333333333
2022-10-02 10:00:00,274.8,464.333333333333,78.6666666666667,223.5
2022-10-02 11:00:00,275.133333333333,554.5,77.5,225.666666666667
2022-10-02 12:00:00,275.166666666667,528.666666666667,75.6666666666667,251.666666666667
2022-10-02 13:00:00,275.083333333333,360.333333333333,79.0,226.833333333333
2022-10-02 14:00:00,275.25,381.666666666667,75.6666666666667,191.666666666667
2022-10-02 15:00:00,275.766666666667,339.5,65.1666666666667,221.333333333333
2022-10-02 16:00:00,275.266666666667,142.833333333333,68.8333333333333,189.5
2022-10-02 17:00:00,274.9,121.333333333333,68.8333333333333,180.5
2022-10-02 18:00:00,274.316666666667,17.8333333333333,68.1666666666667,180.666666666667
2022-10-02 19:00:00,273.8,0.0,73.1666666666667,203.833333333333
2022-10-02 20:00:00,273.383333333333,0.0,75.8333333333333,224.166666666667
2022-10-02 21:00:00,273.166666666667,0.0,77.5,227.0
2022-10-02 22:00:00,272.75,0.0,75.3333333333333,231.833333333333
2022-10-02 23:00:00,272.166666666667,0.0,79.3333333333333,230.166666666667
2022-10-03 00:00:00,271.75,0.0,87.3333333333333,222.5
2022-10-03 01:00:00,271.833333333333,0.0,90.0,193.666666666667
2022-10-03 02:00:00,271.666666666667,0.0,92.1666666666667,204.833333333333
2022-10-03 03:00:00,272.05,0.0,88.8333333333333,211.666666666667
2022-10-03 04:00:00,272.1,0.0,87.6666666666667,207.5
2022-10-03 05:00:00,271.833333333333,0.0,88.5,213.166666666667
