date,temp,sw_in,rel_hum,air_pres,hs,swe,precip,wind_dir,wind_speed
2022-10-01 00:00:00,272.35,0.0,87.7166666666667,730.783333333333,98.1666666666667,16.0166666666667,0.0,10.0207487058517,3.4955887565316
2022-10-01 01:00:00,272.55,0.0,90.6333333333333,730.933333333333,98.5,14.9833333333333,0.0,17.9277312664602,3.94144312174685
2022-10-01 02:00:00,272.7,0.0,91.6166666666667,731.316666666667,98.8333333333333,14.7666666666667,0.0,6.41514605445815,1.34826207866876
2022-10-01 03:00:00,273.0,0.166666666666667,87.6166666666667,731.566666666667,99.5,14.8,0.0,355.570429058199,0.857515404989899
2022-10-01 04:00:00,272.716666666667,0.0,86.6,731.35,99.3333333333333,14.8166666666667,0.0,12.2605862741337,1.14895733472517
2022-10-01 05:00:00,272.533333333333,0.0,80.8833333333334,731.266666666667,98.6666666666667,15.3,0.0,334.474553252225,1.43804052753765
2022-10-01 06:00:00,272.683333333333,0.0,72.8833333333333,731.05,97.6666666666667,15.7,0.0,310.744897812188,1.72059808998467
2022-10-01 07:00:00,273.316666666667,16.6666666666667,64.25,731.15,97.0,16.6,0.0,338.737156275132,2.69670668983853
2022-10-01 08:00:00,273.45,88.6666666666667,65.8833333333334,731.683333333333,97.3333333333333,15.9,0.0,341.839669449206,1.67876208518644
2022-10-01 09:00:00,274.366666666667,212.333333333333,56.95,731.85,96.3333333333333,14.7333333333333,0.0,1.03062171507145,3.05131598590841
2022-10-01 10:00:00,274.45,228.333333333333,59.7666666666667,732.183333333333,98.8333333333333,15.1833333333333,0.0,34.520652113796,3.06810575963565
2022-10-01 11:00:00,274.816666666667,238.0,49.8333333333333,732.366666666667,100.166666666667,16.1333333333333,0.0,33.0341923062904,6.22956486018118
2022-10-01 12:00:00,274.433333333333,378.333333333333,65.05,732.416666666667,105.0,17.1166666666667,0.0,37.45951351158,6.27785004852953
2022-10-01 13:00:00,274.55,297.5,78.4666666666667,732.516666666667,104.333333333333,18.1666666666667,0.0,34.4892688777095,3.723553253977
2022-10-01 14:00:00,274.816666666667,180.666666666667,83.75,732.55,106.333333333333,18.9166666666667,0.12,346.148191999979,2.63555167544654
2022-10-01 15:00:00,274.683333333333,181.166666666667,84.75,732.383333333333,111.833333333333,19.2833333333333,0.0,358.451398316455,1.27726596922368
2022-10-01 16:00:00,274.533333333333,145.0,86.1666666666667,732.416666666667,103.0,19.1333333333333,0.0,27.3280801325872,2.10289403836896
2022-10-01 17:00:00,274.216666666667,62.5,89.35,732.433333333333,90.1666666666667,18.95,0.24,12.016040450676,1.95669638314388
2022-10-01 18:00:00,273.85,14.6666666666667,92.3333333333333,732.583333333333,97.6666666666667,18.7666666666667,0.4,6.52905636778968,3.31000679544655
2022-10-01 19:00:00,273.866666666667,0.166666666666667,90.3833333333333,733.066666666667,108.666666666667,18.6666666666667,0.34,351.751145497637,5.69139676327521
2022-10-01 20:00:00,274.016666666667,0.0,87.9,733.333333333333,117.5,18.25,0.23,345.612609802452,4.90265117535622
2022-10-01 21:00:00,273.516666666667,0.0,93.6833333333333,733.866666666667,121.0,18.4333333333333,0.37,353.280441278275,4.15072428801708
2022-10-01 22:00:00,273.166666666667,0.0,97.9333333333333,734.483333333333,131.166666666667,19.3833333333333,0.68,341.265562627516,1.11467756180681
2022-10-01 23:00:00,273.916666666667,0.166666666666667,93.8833333333333,734.8,145.833333333333,20.5666666666667,0.66,352.601124972009,4.39122605653578
2022-10-02 00:00:00,273.583333333333,0.0,96.9666666666667,735.616666666667,153.833333333333,21.6,0.7,284.363927655201,0.987589236028779
2022-10-02 01:00:00,273.2,0.0,96.8333333333333,736.316666666667,164.666666666667,22.3333333333333,0.43,344.598068183165,2.07378392518159
2022-10-02 02:00:00,274.0,0.0,91.4666666666667,736.85,174.0,22.1166666666667,0.38,2.33285537522698,3.96583898058551
2022-10-02 03:00:00,275.05,0.0,84.8166666666667,737.116666666667,169.333333333333,21.4666666666667,0.14,351.358273112947,4.74064389947801
2022-10-02 04:00:00,275.283333333333,0.0,84.5,737.333333333333,168.0,21.9333333333333,1.46,340.909078926173,8.37811632074864
2022-10-02 05:00:00,275.5,0.0,83.0333333333334,737.5,163.666666666667,22.3666666666667,0.78,348.390131497951,9.55317060331172
2022-10-02 06:00:00,275.783333333333,0.0,81.2833333333333,737.6,158.666666666667,22.6,0.62,351.795670777329,9.44497096948446
2022-10-02 07:00:00,275.816666666667,5.66666666666667,82.4833333333333,737.85,153.166666666667,22.7166666666667,0.73,348.607469551457,9.58193347756087
2022-10-02 08:00:00,276.1,50.0,81.7333333333333,738.216666666667,144.0,22.9166666666667,0.77,355.761309521431,9.35471434333117
2022-10-02 09:00:00,276.65,116.833333333333,75.9833333333334,738.75,134.0,22.1333333333333,0.66,350.044403710216,9.35068608479211
2022-10-02 10:00:00,276.75,222.333333333333,77.9833333333333,738.966666666667,127.833333333333,20.9,0.32,350.505747860602,5.37102882646299
2022-10-02 11:00:00,276.883333333333,294.0,79.6333333333334,738.933333333333,123.0,19.8666666666667,0.31,357.231765216065,4.92176942334454
2022-10-02 12:00:00,277.383333333333,371.666666666667,73.5,738.983333333333,111.0,17.7666666666667,0.54,350.312206926647,8.4646343856953
2022-10-02 13:00:00,277.833333333333,286.5,71.3166666666667,738.95,102.166666666667,15.05,0.16,14.8649743783507,3.94778695703576
2022-10-02 14:00:00,277.366666666667,260.5,83.4,738.733333333333,99.8333333333333,12.9666666666667,0.15,38.9332385516141,3.16854712005529
2022-10-02 15:00:00,278.35,278.833333333333,67.8166666666667,738.416666666667,95.0,10.5333333333333,0.0,22.4891349179256,3.87694621928594
2022-10-02 16:00:00,278.333333333333,197.833333333333,65.7833333333334,738.1,89.0,8.13333333333334,0.0,32.8190685196926,3.57954532585719
2022-10-02 17:00:00,277.666666666667,163.5,66.3,737.966666666667,86.5,6.33333333333333,0.0,347.088367131083,4.53248089235741
2022-10-02 18:00:00,277.233333333333,34.3333333333333,61.7333333333333,737.75,78.3333333333333,4.88333333333333,0.08,349.094524249378,7.34844065913301
2022-10-02 19:00:00,276.816666666667,0.333333333333333,62.6,737.616666666667,74.6666666666667,4.06666666666667,0.12,352.523321473658,8.58844180759241
2022-10-02 20:00:00,276.35,0.0,66.5166666666667,737.95,73.3333333333333,3.38333333333333,0.0,332.604950879019,3.24162833688214
2022-10-02 21:00:00,276.05,0.0,70.2,737.9,70.6666666666667,3.18333333333333,0.12,323.379722538869,3.43745319772852
2022-10-02 22:00:00,275.483333333333,0.0,73.0333333333334,737.966666666667,69.8333333333333,3.11666666666667,0.13,4.00038623943692,2.93007954663722
2022-10-02 23:00:00,274.966666666667,0.0,72.1833333333333,737.933333333333,68.6666666666667,3.11666666666667,0.0,350.325005164428,3.15631994075061
