date,temp,sw_in,rel_hum,wind_dir,wind_speed,hs
2022-10-01 00:00:00,275.683333333333,0.0,100.0,149.0,0.0166666666666667,11.5
2022-10-01 01:00:00,275.466666666667,0.0,99.9833333333333,,0.0,12.5
2022-10-01 02:00:00,274.816666666667,0.0,100.0,,0.0,12.0
2022-10-01 03:00:00,274.283333333333,0.0,100.0,350.0,0.0333333333333333,11.5
2022-10-01 04:00:00,273.883333333333,0.0,100.0,23.0,0.0166666666666667,12.1666666666667
2022-10-01 05:00:00,273.383333333333,0.0,100.0,,0.0,12.3333333333333
2022-10-01 06:00:00,273.166666666667,0.0,100.066666666667,,0.0,13.0
2022-10-01 07:00:00,273.366666666667,11.8333333333333,100.083333333333,,0.0,12.8333333333333
2022-10-01 08:00:00,274.633333333333,73.0,99.9833333333333,,0.0,12.6666666666667
2022-10-01 09:00:00,276.183333333333,137.833333333333,98.4833333333333,,0.0,14.1666666666667
2022-10-01 10:00:00,276.833333333333,105.166666666667,94.3833333333333,,0.0,11.0
2022-10-01 11:00:00,277.516666666667,192.5,89.65,,0.0,7.33333333333333
2022-10-01 12:00:00,278.383333333333,197.5,85.2833333333333,187.5,0.0122167075574766,6.5
2022-10-01 13:00:00,278.333333333333,181.333333333333,82.1833333333333,,0.0,4.16666666666667
2022-10-01 14:00:00,277.95,150.833333333333,84.65,74.5,0.0245759112270041,6.0
2022-10-01 15:00:00,278.183333333333,162.666666666667,83.0666666666667,,0.0,7.33333333333333
2022-10-01 16:00:00,278.233333333333,82.5,87.6333333333333,274.0,0.0333333333333333,7.0
2022-10-01 17:00:00,277.416666666667,28.5,94.1166666666667,2.33499428378383,0.0497498503090201,10.1666666666667
2022-10-01 18:00:00,276.883333333333,5.66666666666667,96.4833333333333,9.73324803299352,0.0982203461556932,11.3333333333333
2022-10-01 19:00:00,276.633333333333,0.0,97.75,11.0000000000001,0.05,10.8333333333333
2022-10-01 20:00:00,276.416666666667,0.0,97.95,12.5490799413719,0.180719696101002,8.33333333333333
2022-10-01 21:00:00,276.266666666667,0.0,98.0833333333333,17.4463848194654,0.212476449893382,9.83333333333333
2022-10-01 22:00:00,276.133333333333,0.0,98.5333333333333,30.913303356676,0.0906964578455587,9.33333333333333
2022-10-01 23:00:00,276.033333333333,0.0,98.75,344.799651236893,0.0831841450373704,10.3333333333333
2022-10-02 00:00:00,276.133333333333,0.0,98.8333333333333,4.43065745380608,0.2127537881547,8.0
2022-10-02 01:00:00,276.133333333333,0.0,98.5166666666667,8.79998050225191,0.0833211489829649,8.66666666666667
2022-10-02 02:00:00,276.066666666667,0.0,99.1833333333333,,0.0,7.33333333333333
2022-10-02 03:00:00,276.266666666667,0.0,99.0333333333334,5.66981866860158,0.295749857318589,8.0
2022-10-02 04:00:00,276.85,0.0,98.2666666666667,5.14044497783664,0.579188534504965,7.33333333333333
2022-10-02 05:00:00,277.116666666667,0.0,98.1166666666667,358.729150776004,0.211381700889924,5.5
2022-10-02 06:00:00,277.216666666667,0.0,98.5166666666667,6.20425220857567,0.16442687838151,5.16666666666667
2022-10-02 07:00:00,277.5,8.0,98.4333333333333,358.530989802068,0.380750455076922,4.5
2022-10-02 08:00:00,278.466666666667,54.1666666666667,95.4666666666667,0.948077377548998,0.344457372014614,5.83333333333333
2022-10-02 09:00:00,279.933333333333,142.5,88.6166666666667,345.559069074185,0.310399755193858,4.83333333333333
2022-10-02 10:00:00,281.666666666667,279.5,82.2,354.232648607003,0.129168642421744,4.5
2022-10-02 11:00:00,282.683333333333,509.833333333333,78.75,332.002767028024,0.19282235642795,0.0
2022-10-02 12:00:00,284.166666666667,673.0,70.7166666666667,294.38236621826,0.252785909139273,-2.16666666666667
2022-10-02 13:00:00,284.7,621.5,54.4666666666667,304.440195924787,0.246860791644547,6.5
2022-10-02 14:00:00,285.516666666667,594.5,52.3,265.431748551154,0.643814640655429,4.33333333333333
2022-10-02 15:00:00,285.433333333333,451.0,47.7833333333333,316.013975362804,0.423016295447017,6.66666666666667
2022-10-02 16:00:00,284.066666666667,228.166666666667,52.8666666666667,331.903263459145,0.571537376444049,2.83333333333333
2022-10-02 17:00:00,282.233333333333,54.1666666666667,61.5833333333333,24.6506374915874,0.647185798826958,9.0
2022-10-02 18:00:00,280.933333333333,13.6666666666667,65.15,5.76686439710437,0.368264023216394,9.5
2022-10-02 19:00:00,281.516666666667,0.0,53.5666666666667,323.862592858671,0.668430044793833,6.5
2022-10-02 20:00:00,281.4,0.0,54.4666666666667,322.39843637747,0.530909979684987,6.66666666666667
2022-10-02 21:00:00,281.033333333333,0.0,56.5333333333333,352.605523924672,0.471802641872644,3.0
2022-10-02 22:00:00,280.316666666667,0.0,58.5666666666667,2.97118949483649,0.602243910961111,4.5
2022-10-02 23:00:00,279.566666666667,0.0,62.9333333333333,12.7128372488547,0.44680848136872,5.33333333333333
2022-10-03 00:00:00,278.483333333333,0.0,75.4166666666667,18.7383899991195,0.546211717239779,7.16666666666666
2022-10-03 01:00:00,277.283333333333,0.0,89.55,17.6094186476009,0.465508264036386,8.33333333333333
2022-10-03 02:00:00,276.666666666667,0.0,94.3,7.13994020381904,1.0953319544186,16.5
2022-10-03 03:00:00,276.683333333333,0.0,93.6166666666667,5.20970703290044,1.19224375546993,16.8333333333333
2022-10-03 04:00:00,277.0,0.0,92.9333333333333,2.72609411173846,1.21618309728508,19.3333333333333
2022-10-03 05:00:00,277.116666666667,0.0,93.0,5.11885529657513,1.29303485073382,19.8333333333333
2022-10-03 06:00:00,277.266666666667,0.0,92.1833333333333,6.17897072138663,1.11597171897552,21.6666666666667
2022-10-03 07:00:00,277.25,13.1666666666667,90.2333333333333,12.7271342178499,0.915786240210554,21.5
2022-10-03 08:00:00,277.55,59.0,84.4666666666667,4.399886692628,0.998679672780842,18.1666666666667
2022-10-03 09:00:00,280.116666666667,367.833333333333,70.6,12.2526318805776,0.399227739811687,7.66666666666667
2022-10-03 10:00:00,281.4,520.5,64.35,13.3599579735854,0.22272200896536,4.16666666666667
2022-10-03 11:00:00,282.233333333333,609.166666666667,59.4833333333333,324.052891639124,0.177930361819303,-6.16666666666667
2022-10-03 12:00:00,282.933333333333,662.666666666667,55.4833333333334,312.463775316127,0.167088425784926,-0.333333333333333
2022-10-03 13:00:00,283.433333333333,629.333333333333,52.9833333333334,303.006299653962,0.174978725450238,1.33333333333333
2022-10-03 14:00:00,283.616666666667,575.166666666667,47.6666666666667,304.737699443931,0.266205975290641,-4.0
2022-10-03 15:00:00,283.583333333333,509.166666666667,48.2666666666667,314.54369011536,0.17103379083938,3.66666666666667
2022-10-03 16:00:00,282.633333333333,397.0,49.4833333333333,17.3019254459433,0.49807482191464,0.5
2022-10-03 17:00:00,280.133333333333,83.6666666666667,56.2333333333334,16.5828972143316,0.43192878244594,9.0
