date,temp,precip,sw_in,rel_hum,wind_dir,wind_speed,air_pres
2022-10-01 00:00:00,277.466666666667,0.0,0.0,100.0,37.8929524103864,0.964923158779883,811.683333333333
2022-10-01 01:00:00,277.433333333333,0.0,0.0,100.0,116.434286089884,0.135644471735022,812.033333333333
2022-10-01 02:00:00,277.25,0.1,0.0,100.0,191.725349021983,0.378462830664991,812.283333333333
2022-10-01 03:00:00,276.45,0.0,0.0,100.0,36.4137833874237,0.783232912897175,812.416666666667
2022-10-01 04:00:00,276.1,0.0,0.0,100.0,197.742640216786,0.807672395104144,812.233333333333
2022-10-01 05:00:00,275.016666666667,0.0,0.0,99.95,203.028444139977,0.668738057847713,812.05
2022-10-01 06:00:00,274.0,0.0,0.0,99.9,218.029834727151,1.37351935532412,812.016666666667
2022-10-01 07:00:00,273.966666666667,0.0,21.7,99.9166666666667,219.085432609542,1.38283955988929,812.6
2022-10-01 08:00:00,275.083333333333,0.0,90.2666666666667,99.4666666666667,221.978648420867,1.56158212828671,812.5
2022-10-01 09:00:00,277.55,0.0,187.666666666667,92.7,141.774071257288,0.0971056741716218,812.933333333333
2022-10-01 10:00:00,278.9,0.0,142.933333333333,85.1333333333333,45.2264072664293,0.98577279641166,813.0
2022-10-01 11:00:00,279.483333333333,0.0,221.55,85.5666666666667,27.9211017862793,1.54510122528369,813.25
2022-10-01 12:00:00,280.866666666667,0.0,289.0,75.1166666666667,33.5318717438212,2.03371461885582,813.2
2022-10-01 13:00:00,280.633333333333,0.0,164.183333333333,72.7833333333333,36.2507944026171,1.83923787790576,813.3
2022-10-01 14:00:00,280.216666666667,0.1,122.983333333333,77.5166666666667,198.175938399615,1.00168441363465,813.5
2022-10-01 15:00:00,280.233333333333,0.1,175.316666666667,83.9833333333333,71.90314956895,0.21012577244579,813.233333333333
2022-10-01 16:00:00,280.416666666667,0.5,109.683333333333,87.6833333333333,82.9216780307461,0.271789970951336,813.25
2022-10-01 17:00:00,279.633333333333,0.8,45.2333333333333,97.3666666666667,24.4121868835802,0.16948373520982,813.45
2022-10-01 18:00:00,278.966666666667,0.9,11.7333333333333,100.0,137.126442077672,0.294298961206903,813.783333333334
2022-10-01 19:00:00,278.433333333333,0.9,0.0,100.0,133.909217435468,0.0779140223916067,814.433333333333
2022-10-01 20:00:00,278.116666666667,0.4,0.0,100.0,43.9386992294642,0.258624427118026,814.683333333333
2022-10-01 21:00:00,277.933333333333,1.5,0.0,100.0,174.489820152104,0.331960972835773,815.45
2022-10-01 22:00:00,277.683333333333,1.3,0.0,100.0,66.4917510998929,0.381271846540587,816.083333333333
2022-10-01 23:00:00,277.533333333333,1.3,0.0,100.0,178.352545676373,0.258392995352031,816.716666666667
2022-10-02 00:00:00,277.566666666667,1.5,0.0,100.0,201.717507294675,0.754737383519538,817.35
2022-10-02 01:00:00,277.6,1.2,0.0,100.0,200.454810252915,0.613370187346466,818.35
2022-10-02 02:00:00,277.533333333333,0.4,0.0,100.0,204.277396727403,1.0136782070041,818.783333333333
2022-10-02 03:00:00,277.5,0.7,0.0,100.0,206.471869411832,1.54385199086151,818.95
2022-10-02 04:00:00,277.933333333333,0.6,0.0,100.0,216.331300175123,1.06696539980671,819.116666666667
2022-10-02 05:00:00,278.366666666667,0.3,0.0,100.0,217.64615149287,1.16059739957511,819.133333333333
2022-10-02 06:00:00,278.516666666667,0.4,0.0,100.0,209.590733593954,1.61999323233045,819.366666666667
2022-10-02 07:00:00,278.716666666667,0.0,3.4,100.0,205.802838843751,1.4245465144892,819.35
2022-10-02 08:00:00,279.35,0.0,31.4666666666667,100.0,214.368303789526,1.7087417824165,819.516666666667
2022-10-02 09:00:00,280.3,0.0,80.9833333333333,100.0,206.324196344574,1.09177691635791,819.633333333334
2022-10-02 10:00:00,281.8,0.0,210.433333333333,98.9166666666667,203.158150763645,1.13007359207542,819.55
2022-10-02 11:00:00,283.483333333333,0.0,386.2,92.85,173.413565394091,0.837422151346511,819.25
2022-10-02 12:00:00,284.883333333333,0.0,421.066666666667,79.1333333333333,133.56441753354,1.1299067957562,819.25
2022-10-02 13:00:00,285.383333333333,0.0,265.716666666667,74.0,50.7386026224392,1.30964213803945,818.85
2022-10-02 14:00:00,286.516666666667,0.0,423.033333333333,61.5,29.342882159829,1.45490516494102,818.35
2022-10-02 15:00:00,288.5,0.0,641.133333333333,43.15,32.6169906411907,4.74483803157771,817.85
2022-10-02 16:00:00,287.633333333333,0.0,392.583333333333,45.9833333333333,30.0406421437522,3.42576969906933,817.7
