date,temp,sw_in,rel_hum,air_pres,hs,precip,wind_dir,wind_speed
2022-10-01 00:00:00,271.0,0.0,98.7666666666667,710.533333333333,75.1666666666667,0.0,5.81300222188929,5.15609842971801
2022-10-01 01:00:00,270.883333333333,0.0,99.8,710.633333333333,75.6666666666667,0.0,5.15219327551887,3.49175188055868
2022-10-01 02:00:00,271.283333333333,0.0,99.7166666666667,711.0,76.8333333333333,0.0,10.9501680429846,2.39982540454691
2022-10-01 03:00:00,271.316666666667,0.0,99.45,711.116666666667,75.1666666666667,0.0,28.3794068979234,3.01765728341852
2022-10-01 04:00:00,271.066666666667,0.0,95.8166666666667,710.95,75.8333333333333,0.0,13.4668157520458,2.73251690625791
2022-10-01 05:00:00,270.933333333333,0.0,83.6166666666667,710.766666666667,74.0,0.0,357.811031686037,2.80880373885383
2022-10-01 06:00:00,271.433333333333,0.0,74.7333333333333,710.583333333333,76.3333333333333,0.0,357.731777200195,4.28249388331941
2022-10-01 07:00:00,272.0,34.6666666666667,69.1166666666667,710.966666666667,80.1666666666667,0.0,358.190432545007,4.12602522654142
2022-10-01 08:00:00,271.2,138.166666666667,79.6,711.366666666667,79.0,0.0,14.6714852088413,4.28804339433208
2022-10-01 09:00:00,271.716666666667,294.0,72.9166666666667,711.6,77.3333333333333,0.0,1.63870596414046,3.69110048996566
2022-10-01 10:00:00,272.283333333333,275.833333333333,65.2833333333334,711.966666666667,74.8333333333333,0.0,21.9271157351357,2.31480785441149
2022-10-01 11:00:00,272.116666666667,348.166666666667,67.0,712.2,76.5,0.0,40.76147377019,4.62340029370158
2022-10-01 12:00:00,273.133333333333,541.833333333333,70.7833333333334,712.183333333333,66.1666666666667,0.0,36.0289373037241,0.730062984010577
2022-10-01 13:00:00,273.616666666667,561.833333333333,82.7166666666667,712.216666666667,63.3333333333333,0.1,28.0575512686015,0.462225044529879
2022-10-01 14:00:00,273.383333333333,413.166666666667,85.2833333333333,712.3,59.3333333333333,0.3,7.36546159392617,2.93769331022246
2022-10-01 15:00:00,273.166666666667,352.166666666667,86.2,712.15,56.1666666666667,0.1,24.5621211692475,3.22087334433898
2022-10-01 16:00:00,273.1,213.5,88.5333333333334,712.133333333333,58.0,0.4,16.0487314475103,4.13462353598645
2022-10-01 17:00:00,273.2,86.3333333333333,89.15,712.15,53.8333333333333,0.3,334.654907213775,0.84753879223832
2022-10-01 18:00:00,272.9,18.3333333333333,92.5833333333333,712.266666666667,58.0,0.8,354.256692882273,1.15618739170624
2022-10-01 19:00:00,272.783333333333,0.333333333333333,93.1333333333333,712.833333333333,72.0,0.4,231.90154828397,0.667214726842528
2022-10-01 20:00:00,272.466666666667,0.0,97.25,713.166666666667,75.1666666666667,0.3,186.965032268511,0.859563551186251
2022-10-01 21:00:00,272.133333333333,0.0,99.8,713.633333333333,75.6666666666667,0.6,146.966551718194,1.4502280051503
2022-10-01 22:00:00,272.8,0.0,96.8,714.116666666667,94.5,0.7,335.866070405893,1.15663041712567
2022-10-01 23:00:00,272.916666666667,0.0,96.4333333333333,714.6,95.6666666666667,1.2,192.990236221298,0.6240128171375
2022-10-02 00:00:00,272.4,0.0,99.8,715.25,104.333333333333,0.9,94.9436838621604,1.06557747950028
2022-10-02 01:00:00,272.066666666667,0.0,99.7666666666667,716.016666666667,122.0,0.7,103.314407198661,0.600846314775651
2022-10-02 02:00:00,273.15,0.0,94.2833333333333,716.566666666667,131.5,0.3,36.7103575891245,2.49820529486577
2022-10-02 03:00:00,273.65,0.166666666666667,91.4666666666667,716.966666666667,116.333333333333,0.5,5.8159367179486,3.58602914683542
2022-10-02 04:00:00,274.2,0.0,87.5166666666667,717.216666666667,82.3333333333333,0.3,293.317495556044,2.72096951986463
2022-10-02 05:00:00,274.333333333333,0.0,86.6333333333333,717.35,59.5,0.3,349.473253616599,2.01681259186625
2022-10-02 06:00:00,274.25,0.0,88.7833333333334,717.433333333333,58.0,0.5,344.593338397895,5.36502359221902
2022-10-02 07:00:00,274.383333333333,13.6666666666667,90.0833333333333,717.8,54.8333333333333,0.4,342.172419318642,4.46269542248168
2022-10-02 08:00:00,274.716666666667,96.5,87.95,718.2,47.6666666666667,0.2,341.408490977903,5.07592281212225
2022-10-02 09:00:00,275.1,211.5,81.3166666666667,718.733333333334,40.5,0.1,344.364310756684,3.48221185383395
2022-10-02 10:00:00,274.933333333333,407.333333333333,84.75,718.666666666667,29.3333333333333,0.2,297.22192043521,1.31221782349584
2022-10-02 11:00:00,275.6,600.0,83.8166666666667,718.7,36.1666666666667,0.2,3.98294577489304,1.74596114120693
2022-10-02 12:00:00,275.783333333333,737.333333333333,74.55,718.866666666667,32.3333333333333,0.2,337.170925889607,1.88607843851661
2022-10-02 13:00:00,275.85,531.0,82.3,718.683333333333,15.1666666666667,0.2,4.82144176819304,3.18431490399968
2022-10-02 14:00:00,275.783333333333,497.333333333333,82.7,718.283333333333,20.5,0.7,22.7468468343771,2.57340577904826
2022-10-02 15:00:00,276.516666666667,345.333333333333,66.1333333333333,718.166666666667,3.83333333333333,0.0,10.8619956059148,3.62740087039315
2022-10-02 16:00:00,276.216666666667,212.5,70.1666666666667,717.733333333334,2.66666666666667,0.1,18.6270153350513,3.1456427038831
2022-10-02 17:00:00,275.983333333333,91.0,65.6333333333333,717.633333333333,7.83333333333333,0.0,20.6708287951546,2.40325642905866
2022-10-02 18:00:00,275.633333333333,27.0,64.1833333333333,717.533333333333,5.0,0.0,1.71419200311823,1.78316316971018
2022-10-02 19:00:00,275.316666666667,0.0,64.4333333333333,717.5,5.33333333333333,0.0,306.487968841996,2.80614571504951
2022-10-02 20:00:00,274.816666666667,0.0,68.1333333333333,717.533333333333,6.5,0.0,252.122047935495,1.10013412730419
2022-10-02 21:00:00,274.583333333333,0.0,71.3,717.433333333333,8.16666666666667,0.0,280.146593328638,1.35964511739056
2022-10-02 22:00:00,274.066666666667,0.0,70.9833333333333,717.35,1.0,0.1,292.169265652156,3.98624325682945
