date,sw_in,hs,rel_hum,temp,wind_dir,wind_speed
2022-10-01 00:00:00,-0.5,99.6666666666667,97.7833333333334,275.2,,
2022-10-01 01:00:00,-0.5,99.3333333333333,97.85,274.983333333333,,
2022-10-01 02:00:00,0.0,98.0,97.9,274.7,,
2022-10-01 03:00:00,-0.166666666666667,96.6666666666667,97.8666666666667,274.45,,
2022-10-01 04:00:00,0.0,95.3333333333333,97.4,274.033333333333,,
2022-10-01 05:00:00,0.0,99.0,97.25,273.9,,
2022-10-01 06:00:00,0.0,102.0,96.55,274.033333333333,,
2022-10-01 07:00:00,9.33333333333333,103.333333333333,95.4,274.033333333333,,
2022-10-01 08:00:00,45.0,104.0,89.4,274.816666666667,,
2022-10-01 09:00:00,91.5,96.6666666666667,83.05,276.3,,
2022-10-01 10:00:00,70.5,91.0,86.6166666666667,276.6,,
2022-10-01 11:00:00,83.0,89.1666666666667,74.9333333333333,277.55,,
2022-10-01 12:00:00,94.0,83.6666666666667,67.3833333333333,278.316666666667,,
2022-10-01 13:00:00,56.1666666666667,86.5,77.3166666666667,276.916666666667,,
2022-10-01 14:00:00,64.8333333333333,97.6666666666667,79.6666666666667,277.116666666667,,
2022-10-01 15:00:00,61.8333333333333,96.6666666666667,86.9833333333333,277.3,,
2022-10-01 16:00:00,39.6666666666667,97.3333333333333,96.75,277.083333333333,,
2022-10-01 17:00:00,18.5,91.3333333333333,96.0833333333333,276.816666666667,,
2022-10-01 18:00:00,3.5,92.0,94.2,276.216666666667,,
2022-10-01 19:00:00,-0.166666666666667,132.833333333333,93.2333333333333,275.616666666667,,
2022-10-01 20:00:00,-0.333333333333333,78.6666666666667,96.3666666666667,275.5,,
2022-10-01 21:00:00,0.0,86.0,93.75,275.633333333333,,
2022-10-01 22:00:00,-0.5,145.0,90.7,275.816666666667,,
2022-10-01 23:00:00,-0.166666666666667,96.0,93.6,275.983333333333,,
2022-10-02 00:00:00,-0.166666666666667,90.8333333333333,96.85,275.95,,
2022-10-02 01:00:00,-0.333333333333333,86.3333333333334,96.65,275.733333333333,,
2022-10-02 02:00:00,-0.333333333333333,77.3333333333333,96.5666666666667,275.7,,
2022-10-02 03:00:00,0.0,80.3333333333333,96.95,275.9,,
2022-10-02 04:00:00,0.333333333333333,89.6666666666667,94.6166666666667,276.483333333333,,
2022-10-02 05:00:00,-0.5,79.1666666666667,90.7333333333333,277.033333333333,,
2022-10-02 06:00:00,-0.666666666666667,80.1666666666667,93.4166666666667,277.05,,
2022-10-02 07:00:00,-0.166666666666667,84.6666666666667,86.15,277.75,,
2022-10-02 08:00:00,8.0,89.5,78.4333333333333,278.95,,
2022-10-02 09:00:00,30.6666666666667,88.1666666666667,75.2666666666667,279.833333333333,,
2022-10-02 10:00:00,65.1666666666667,81.3333333333333,78.5,280.633333333333,,
2022-10-02 11:00:00,108.666666666667,91.3333333333333,79.9666666666667,280.666666666667,,
2022-10-02 12:00:00,150.5,87.3333333333333,71.9166666666667,281.55,,
2022-10-02 13:00:00,89.5,78.1666666666667,70.1833333333333,282.116666666667,,
2022-10-02 14:00:00,73.1666666666667,85.5,72.1333333333334,281.833333333333,,
2022-10-02 15:00:00,73.1666666666667,83.5,67.7166666666667,282.283333333333,,
2022-10-02 16:00:00,80.1666666666667,87.5,76.3166666666667,282.0,,
2022-10-02 17:00:00,99.6666666666667,100.0,65.3166666666667,283.05,,
2022-10-02 18:00:00,16.0,82.5,60.7833333333333,281.816666666667,,
2022-10-02 19:00:00,-0.166666666666667,88.5,57.4333333333333,280.883333333333,,
2022-10-02 20:00:00,-0.333333333333333,79.3333333333333,65.45,280.1,,
2022-10-02 21:00:00,-0.333333333333333,87.1666666666667,74.7666666666667,278.766666666667,,
2022-10-02 22:00:00,0.0,89.0,67.7333333333333,278.766666666667,,
2022-10-02 23:00:00,-0.333333333333333,89.3333333333333,66.35,278.683333333333,,
2022-10-03 00:00:00,-0.166666666666667,98.3333333333333,80.4,277.766666666667,,
2022-10-03 01:00:00,-0.166666666666667,104.166666666667,96.3833333333333,276.6,,
2022-10-03 02:00:00,0.0,108.5,97.4333333333333,275.933333333333,,
2022-10-03 03:00:00,-0.5,106.666666666667,97.55,275.7,,
2022-10-03 04:00:00,-0.166666666666667,110.333333333333,96.8,276.35,,
2022-10-03 05:00:00,-0.5,104.666666666667,93.2333333333333,276.95,,
2022-10-03 06:00:00,-0.5,104.0,96.2333333333333,276.783333333333,,
2022-10-03 07:00:00,2.16666666666667,107.166666666667,93.4333333333333,275.966666666667,,
2022-10-03 08:00:00,16.1666666666667,105.666666666667,92.25,275.8,,
2022-10-03 09:00:00,133.333333333333,98.5,76.1166666666667,276.7,,
2022-10-03 10:00:00,290.666666666667,85.5,68.8166666666667,279.216666666667,,
