date,sw_in,hs,rel_hum,temp
2023-04-14 21:00:00,0.0,684.833333333333,78.8833333333334,268.133333333333
2023-04-14 22:00:00,0.0,688.333333333333,80.1166666666667,267.3
2023-04-14 23:00:00,0.0,688.166666666667,76.3666666666667,267.016666666667
2023-04-15 00:00:00,0.0,690.0,71.3,267.033333333333
2023-04-15 01:00:00,0.0,690.666666666667,70.3166666666667,266.916666666667
2023-04-15 02:00:00,0.0,691.0,69.5833333333334,267.0
2023-04-15 03:00:00,0.0,694.166666666667,74.5,266.483333333333
2023-04-15 04:00:00,0.0,693.166666666667,71.5333333333333,266.533333333333
2023-04-15 05:00:00,0.0,696.666666666667,72.5,266.716666666667
2023-04-15 06:00:00,3.66666666666667,698.166666666667,72.5166666666667,266.65
2023-04-15 07:00:00,116.833333333333,695.333333333334,67.95,267.233333333333
2023-04-15 08:00:00,218.333333333333,676.0,63.2,268.366666666667
2023-04-15 09:00:00,506.666666666667,659.5,62.45,269.983333333333
2023-04-15 10:00:00,442.0,655.666666666667,61.2166666666667,270.383333333333
2023-04-15 11:00:00,582.5,650.666666666667,52.2,271.9
2023-04-15 12:00:00,659.166666666667,642.833333333333,52.5666666666667,271.533333333333
2023-04-15 13:00:00,576.0,657.666666666667,56.1666666666667,271.8
2023-04-15 14:00:00,419.333333333333,687.666666666667,61.0,271.016666666667
2023-04-15 15:00:00,418.833333333333,696.166666666667,62.5833333333333,270.716666666667
2023-04-15 16:00:00,313.666666666667,699.666666666667,64.5166666666667,270.516666666667
2023-04-15 17:00:00,212.166666666667,701.333333333334,66.0666666666667,270.35
2023-04-15 18:00:00,72.1666666666667,698.666666666667,72.0,269.733333333333
2023-04-15 19:00:00,35.3333333333333,676.833333333333,79.1666666666667,269.4
2023-04-15 20:00:00,1.33333333333333,678.333333333334,96.9,268.8
2023-04-15 21:00:00,0.0,690.333333333334,99.6,268.6
2023-04-15 22:00:00,0.0,687.333333333333,99.7333333333333,268.533333333333
2023-04-15 23:00:00,0.0,651.333333333333,99.8,268.55
2023-04-16 00:00:00,0.0,682.833333333333,99.8,268.65
2023-04-16 01:00:00,0.0,707.166666666667,99.8,268.65
2023-04-16 02:00:00,0.0,686.833333333333,99.8,268.75
2023-04-16 03:00:00,0.0,674.166666666667,99.8,268.733333333333
2023-04-16 04:00:00,0.0,699.833333333333,99.8,268.75
2023-04-16 05:00:00,0.0,722.333333333333,99.8,268.75
2023-04-16 06:00:00,5.0,690.166666666667,99.8,268.733333333333
2023-04-16 07:00:00,41.8333333333333,753.5,99.8,268.916666666667
2023-04-16 08:00:00,76.1666666666667,784.833333333333,99.8,269.366666666667
2023-04-16 09:00:00,116.5,746.0,99.8,270.283333333333
2023-04-16 10:00:00,185.333333333333,732.333333333333,99.8,272.016666666667
2023-04-16 11:00:00,549.833333333333,745.166666666667,99.8,274.166666666667
2023-04-16 12:00:00,545.666666666667,712.166666666667,99.85,275.35
2023-04-16 13:00:00,560.5,682.333333333333,95.3166666666667,275.2
2023-04-16 14:00:00,576.666666666667,720.833333333333,93.1833333333333,272.166666666667
2023-04-16 15:00:00,442.0,754.166666666667,97.5166666666667,271.983333333333
2023-04-16 16:00:00,296.166666666667,738.833333333333,99.6,271.883333333333
2023-04-16 17:00:00,225.166666666667,752.833333333333,99.3166666666667,272.616666666667
2023-04-16 18:00:00,122.333333333333,773.666666666667,98.6833333333333,271.583333333333
2023-04-16 19:00:00,47.0,772.333333333333,99.8,271.183333333333
2023-04-16 20:00:00,2.66666666666667,792.333333333333,99.8,270.566666666667
2023-04-16 21:00:00,0.0,817.0,99.8,270.45
2023-04-16 22:00:00,0.0,780.166666666667,99.8,270.333333333333
2023-04-16 23:00:00,0.0,783.5,95.0333333333333,270.416666666667
2023-04-17 00:00:00,0.0,812.5,90.5,270.766666666667
2023-04-17 01:00:00,0.0,807.333333333333,97.8833333333333,270.383333333333
2023-04-17 02:00:00,0.0,799.333333333333,99.1,270.15
2023-04-17 03:00:00,0.0,824.5,99.7,269.883333333333
2023-04-17 04:00:00,0.0,813.833333333333,97.0333333333333,269.35
2023-04-17 05:00:00,0.0,797.333333333333,96.7833333333333,269.116666666667
2023-04-17 06:00:00,8.5,792.833333333333,92.9,269.033333333333
2023-04-17 07:00:00,200.666666666667,770.666666666667,82.6,269.616666666667
2023-04-17 08:00:00,435.666666666667,769.333333333333,94.5666666666667,269.4
2023-04-17 09:00:00,522.5,762.666666666667,71.7,270.533333333333
2023-04-17 10:00:00,661.166666666667,756.333333333333,75.7,270.533333333333
2023-04-17 11:00:00,810.833333333333,749.333333333333,73.3833333333333,271.116666666667
2023-04-17 12:00:00,851.666666666667,744.333333333333,83.9166666666667,271.083333333333
2023-04-17 13:00:00,839.0,745.166666666667,83.3,271.366666666667
2023-04-17 14:00:00,618.666666666667,769.666666666667,84.2166666666667,271.4
2023-04-17 15:00:00,622.333333333333,772.666666666667,82.75,271.783333333333
2023-04-17 16:00:00,426.333333333333,766.833333333333,86.8,271.833333333333
2023-04-17 17:00:00,241.5,740.333333333333,93.05,271.7
2023-04-17 18:00:00,136.666666666667,759.833333333333,99.2,271.25
2023-04-17 19:00:00,63.5,767.5,90.0,271.466666666667
2023-04-17 20:00:00,2.66666666666667,767.166666666667,97.2,271.1
2023-04-17 21:00:00,0.0,764.0,99.6666666666667,270.666666666667
2023-04-17 22:00:00,0.0,761.5,96.6833333333333,270.666666666667
2023-04-17 23:00:00,0.0,757.333333333333,91.4666666666667,270.45
2023-04-18 00:00:00,0.0,752.666666666667,88.5833333333333,270.366666666667
2023-04-18 01:00:00,0.0,741.5,97.05,270.016666666667
2023-04-18 02:00:00,0.0,724.833333333333,99.5333333333333,270.05
2023-04-18 03:00:00,0.0,705.333333333333,99.35,269.916666666667
2023-04-18 04:00:00,0.0,727.333333333334,94.4,269.8
2023-04-18 05:00:00,0.0,734.5,95.2833333333333,269.583333333333
2023-04-18 06:00:00,4.16666666666667,718.333333333333,97.45,269.15
2023-04-18 07:00:00,57.8333333333333,694.666666666667,97.95,269.15
2023-04-18 08:00:00,376.833333333333,698.666666666667,83.5,270.983333333333
2023-04-18 09:00:00,594.333333333333,690.166666666667,77.95,272.216666666667
2023-04-18 10:00:00,523.833333333333,710.833333333333,90.0166666666667,271.833333333333
2023-04-18 11:00:00,583.0,707.0,80.9,273.0
2023-04-18 12:00:00,648.0,715.0,75.1166666666667,273.783333333333
2023-04-18 13:00:00,966.5,702.666666666667,66.1333333333333,275.666666666667
2023-04-18 14:00:00,909.5,738.666666666667,72.5833333333333,274.233333333333
2023-04-18 15:00:00,807.166666666667,733.0,72.65,274.616666666667
2023-04-18 16:00:00,606.333333333333,724.833333333333,69.6666666666667,274.933333333333
2023-04-18 17:00:00,393.0,728.666666666667,72.4833333333333,274.95
2023-04-18 18:00:00,50.1666666666667,729.166666666667,76.9833333333333,274.55
2023-04-18 19:00:00,27.0,728.5,75.7,274.433333333333
2023-04-18 20:00:00,2.83333333333333,727.5,81.9166666666667,274.05
2023-04-18 21:00:00,0.0,728.0,92.4333333333333,273.2
2023-04-18 22:00:00,0.0,730.666666666667,88.0166666666667,273.183333333333
2023-04-18 23:00:00,0.0,731.5,85.4166666666667,273.3
2023-04-19 00:00:00,0.0,728.166666666667,80.9333333333333,273.0
2023-04-19 01:00:00,0.0,738.0,93.25,271.566666666667
2023-04-19 02:00:00,0.0,737.333333333333,99.1666666666667,271.783333333333
2023-04-19 03:00:00,0.0,735.333333333333,99.6,271.933333333333
2023-04-19 04:00:00,0.0,735.0,98.6,271.966666666667
2023-04-19 05:00:00,0.0,737.166666666667,89.6666666666667,271.75
2023-04-19 06:00:00,4.66666666666667,738.333333333333,91.05,271.483333333333
2023-04-19 07:00:00,49.3333333333333,740.333333333333,99.7833333333334,271.2
2023-04-19 08:00:00,173.5,727.833333333334,95.4666666666667,272.183333333333
2023-04-19 09:00:00,282.0,712.0,96.2833333333334,272.6
2023-04-19 10:00:00,375.0,687.0,88.2,273.566666666667
2023-04-19 11:00:00,501.166666666667,689.666666666667,83.3166666666667,274.15
2023-04-19 12:00:00,361.666666666667,687.166666666667,81.5333333333333,274.083333333333
2023-04-19 13:00:00,259.5,698.5,79.4666666666667,273.666666666667
2023-04-19 14:00:00,248.166666666667,698.833333333333,77.9333333333333,274.05
2023-04-19 15:00:00,233.666666666667,696.833333333333,84.4833333333333,274.45
2023-04-19 16:00:00,197.833333333333,701.833333333333,89.15,273.883333333333
2023-04-19 17:00:00,110.666666666667,719.333333333333,89.75,273.533333333333
2023-04-19 18:00:00,89.5,712.5,97.1666666666667,273.5
2023-04-19 19:00:00,31.3333333333333,731.166666666667,99.8,272.5
2023-04-19 20:00:00,1.5,725.666666666667,99.8,272.233333333333
2023-04-19 21:00:00,0.0,731.166666666667,99.8,272.2
2023-04-19 22:00:00,0.0,706.833333333333,99.8,272.05
2023-04-19 23:00:00,0.0,724.5,99.8,271.866666666667
2023-04-20 00:00:00,0.0,741.0,99.8,271.766666666667
2023-04-20 01:00:00,0.0,725.0,99.8,271.416666666667
2023-04-20 02:00:00,0.0,665.0,99.8,270.9
2023-04-20 03:00:00,0.0,621.833333333333,99.8,270.483333333333
2023-04-20 04:00:00,0.0,600.666666666667,99.8,270.483333333333
2023-04-20 05:00:00,0.0,594.0,99.8,270.183333333333
2023-04-20 06:00:00,2.66666666666667,657.5,99.8,270.233333333333
2023-04-20 07:00:00,44.8333333333333,722.0,88.4666666666667,271.666666666667
2023-04-20 08:00:00,151.0,760.333333333333,83.6833333333333,272.35
2023-04-20 09:00:00,258.666666666667,768.666666666667,88.7,272.416666666667
2023-04-20 10:00:00,370.333333333333,753.333333333333,79.6,273.0
2023-04-20 11:00:00,610.833333333333,730.833333333333,79.1333333333333,274.566666666667
2023-04-20 12:00:00,710.0,691.666666666667,85.8,274.883333333333
2023-04-20 13:00:00,486.0,695.8,95.96,274.13
2023-04-20 14:00:00,369.833333333333,705.666666666667,95.2666666666667,274.016666666667
2023-04-20 15:00:00,336.833333333333,727.833333333333,99.8,272.833333333333
2023-04-20 16:00:00,257.833333333333,722.833333333333,99.8,272.95
2023-04-20 17:00:00,152.5,696.833333333333,99.8,273.05
2023-04-20 18:00:00,119.166666666667,667.5,99.8,273.416666666667
2023-04-20 19:00:00,36.0,656.5,99.8,273.016666666667
2023-04-20 20:00:00,1.83333333333333,675.5,99.8,272.833333333333
2023-04-20 21:00:00,0.0,679.333333333333,99.8,272.65
2023-04-20 22:00:00,0.0,684.666666666667,99.8,272.5
2023-04-20 23:00:00,0.0,689.5,99.8,272.316666666667
2023-04-21 00:00:00,0.0,717.5,99.8,272.166666666667
2023-04-21 01:00:00,0.0,726.833333333333,99.8,272.0
2023-04-21 02:00:00,0.0,728.833333333333,99.8,271.65
2023-04-21 03:00:00,0.0,726.833333333333,99.8,271.166666666667
2023-04-21 04:00:00,0.0,725.166666666667,99.8,271.35
2023-04-21 05:00:00,0.0,708.166666666667,99.8,271.366666666667
2023-04-21 06:00:00,9.0,686.5,99.8,271.333333333333
2023-04-21 07:00:00,216.833333333333,675.5,85.85,273.05
2023-04-21 08:00:00,326.5,656.166666666667,96.1333333333333,273.083333333333
2023-04-21 09:00:00,529.0,687.166666666667,86.8166666666667,274.6
2023-04-21 10:00:00,485.833333333333,689.166666666667,97.0166666666667,274.283333333333
2023-04-21 11:00:00,712.333333333333,715.333333333334,85.1666666666667,275.133333333333
2023-04-21 12:00:00,626.833333333333,728.666666666667,69.5666666666667,275.683333333333
2023-04-21 13:00:00,890.166666666667,724.833333333334,57.85,276.316666666667
2023-04-21 14:00:00,897.166666666667,710.166666666667,60.7,276.3
2023-04-21 15:00:00,734.166666666667,686.166666666667,60.3833333333333,276.583333333333
2023-04-21 16:00:00,670.5,702.833333333333,59.1833333333333,276.916666666667
2023-04-21 17:00:00,385.666666666667,698.0,57.05,276.85
2023-04-21 18:00:00,64.5,701.666666666667,56.8,276.45
2023-04-21 19:00:00,49.5,704.666666666667,59.5833333333333,276.316666666667
2023-04-21 20:00:00,3.16666666666667,704.0,64.8833333333333,275.7
2023-04-21 21:00:00,0.0,705.166666666667,67.2833333333333,275.35
2023-04-21 22:00:00,0.0,700.666666666667,70.7166666666667,274.983333333333
2023-04-21 23:00:00,0.0,699.5,68.1166666666667,274.816666666667
2023-04-22 00:00:00,0.0,699.833333333333,66.2,274.883333333333
2023-04-22 01:00:00,0.0,698.0,69.1,274.616666666667
2023-04-22 02:00:00,0.0,697.0,68.7,274.433333333333
2023-04-22 03:00:00,0.0,698.0,67.45,274.366666666667
2023-04-22 04:00:00,0.0,696.666666666667,65.2166666666667,274.4
2023-04-22 05:00:00,0.0,695.0,62.9333333333333,274.383333333333
2023-04-22 06:00:00,11.5,693.333333333333,57.8666666666667,274.866666666667
2023-04-22 07:00:00,89.3333333333333,689.666666666667,53.95,275.3
2023-04-22 08:00:00,369.333333333333,663.5,46.9666666666667,278.183333333333
2023-04-22 09:00:00,457.166666666667,641.666666666667,45.3833333333333,279.066666666667
2023-04-22 10:00:00,574.666666666667,635.0,49.2166666666667,279.45
2023-04-22 11:00:00,793.0,676.0,41.4166666666667,279.716666666667
2023-04-22 12:00:00,883.0,687.666666666667,44.1833333333333,279.95
2023-04-22 13:00:00,866.0,661.166666666667,42.4,280.6
2023-04-22 14:00:00,884.333333333333,658.333333333333,43.9166666666667,281.0
2023-04-22 15:00:00,752.333333333333,646.833333333333,43.85,281.083333333333
2023-04-22 16:00:00,630.166666666667,647.5,43.0333333333333,281.366666666667
2023-04-22 17:00:00,300.0,648.333333333333,43.2833333333333,281.233333333333
2023-04-22 18:00:00,114.666666666667,649.5,45.6666666666667,280.75
2023-04-22 19:00:00,55.0,656.166666666667,48.6666666666667,280.433333333333
2023-04-22 20:00:00,3.33333333333333,668.0,55.2666666666667,279.816666666667
2023-04-22 21:00:00,0.0,678.333333333333,60.3833333333333,279.166666666667
2023-04-22 22:00:00,0.0,679.0,64.6166666666667,278.516666666667
2023-04-22 23:00:00,0.0,681.0,68.2166666666667,278.083333333333
2023-04-23 00:00:00,0.0,676.666666666667,73.7,277.7
2023-04-23 01:00:00,0.0,660.5,77.5333333333333,277.55
2023-04-23 02:00:00,0.0,672.333333333333,77.3166666666667,277.45
2023-04-23 03:00:00,0.0,652.666666666667,77.5166666666667,277.2
2023-04-23 04:00:00,0.0,677.666666666667,81.4,276.883333333333
2023-04-23 05:00:00,0.0,678.666666666667,83.8833333333333,276.616666666667
2023-04-23 06:00:00,8.33333333333333,676.833333333333,78.5333333333334,276.916666666667
2023-04-23 07:00:00,42.6666666666667,663.0,78.9333333333333,276.783333333333
2023-04-23 08:00:00,337.833333333333,645.5,79.5333333333333,276.983333333333
2023-04-23 09:00:00,487.166666666667,638.833333333333,71.6666666666667,277.366666666667
2023-04-23 10:00:00,383.666666666667,655.5,72.9833333333333,277.45
2023-04-23 11:00:00,478.0,660.666666666667,68.6833333333333,277.65
