date,temp,precip,sw_in,rel_hum,wind_dir,wind_speed,air_pres,hs
2022-10-01 00:00:00,274.35,0.0,0.0,99.7,243.698763001084,0.149586168915172,775.1,31.0
2022-10-01 01:00:00,274.5,0.0,0.0,99.7,245.999803714048,0.139164235957219,775.1,32.3333333333333
2022-10-01 02:00:00,274.433333333333,0.0,0.0,99.7,222.054481678993,0.421503797209451,775.5,30.0
2022-10-01 03:00:00,274.466666666667,0.0,0.0,99.7,28.6586391559442,0.27495240353545,775.65,21.6666666666667
2022-10-01 04:00:00,274.333333333333,0.0,0.0,99.7,208.794331791441,0.23868403610838,775.416666666667,21.8333333333333
2022-10-01 05:00:00,274.333333333333,0.0,0.0,99.7,252.606841620899,0.127175964850325,775.283333333333,23.3333333333333
2022-10-01 06:00:00,274.016666666667,0.0,0.0,99.7,222.929197080052,1.63522837208598,775.166666666667,25.8333333333333
2022-10-01 07:00:00,273.783333333333,0.0,17.4666666666667,99.7,210.489360584207,2.68401244281734,775.516666666667,24.1666666666667
2022-10-01 08:00:00,274.5,0.0,75.25,99.05,235.196325349865,1.27954546734862,775.75,29.1666666666667
2022-10-01 09:00:00,274.85,0.0,134.683333333333,97.9833333333333,191.85386996022,0.213977936725756,776.05,35.8333333333333
2022-10-01 10:00:00,275.1,0.0,140.566666666667,99.2166666666667,70.2559291606607,0.229160706954409,776.116666666667,36.8333333333333
2022-10-01 11:00:00,275.266666666667,0.0,173.35,99.3333333333333,53.290129412445,0.51697194625404,776.25,33.0
2022-10-01 12:00:00,274.983333333333,0.0,149.55,99.7166666666667,19.2786690644382,0.828195842012054,776.283333333333,41.5
2022-10-01 13:00:00,275.2,0.1,159.833333333333,99.7333333333333,19.9756697543918,0.68892951091382,776.1,44.5
2022-10-01 14:00:00,275.583333333333,0.0,154.95,99.7666666666667,29.8001952384153,1.32223794217764,776.033333333333,44.6666666666667
2022-10-01 15:00:00,275.35,0.0,119.516666666667,99.8,16.7304212307398,1.55737996674592,776.016666666667,45.3333333333333
2022-10-01 16:00:00,275.45,0.2,99.85,99.7833333333333,15.1961158658513,1.18747104274303,776.183333333333,44.0
2022-10-01 17:00:00,275.483333333333,0.3,44.3333333333333,99.7666666666667,15.0992470294379,0.395445580637346,776.133333333333,40.0
2022-10-01 18:00:00,275.4,0.4,12.6166666666667,99.7333333333333,56.1122780717698,0.161408958970664,776.533333333333,36.1666666666667
2022-10-01 19:00:00,275.3,0.8,0.05,99.7166666666667,10.5605599063632,0.237356389887253,777.133333333333,35.8333333333333
2022-10-01 20:00:00,275.1,0.5,0.0,99.7,37.8769735293357,0.479646836709118,777.5,32.0
2022-10-01 21:00:00,274.9,1.2,0.0,99.7,65.6907320610613,0.96635478234777,777.966666666667,38.3333333333333
2022-10-01 22:00:00,274.55,0.9,0.0,99.7,249.91806504773,0.507250965084669,778.55,30.5
2022-10-01 23:00:00,274.283333333333,1.2,0.0,99.7,232.66736306284,0.910023473103692,779.1,43.3333333333333
2022-10-02 00:00:00,274.066666666667,0.9,0.0,99.7,235.913707746133,0.851822434589774,779.833333333333,44.0
2022-10-02 01:00:00,273.916666666667,0.9,0.0,99.7,233.768141008255,0.75353699092696,780.483333333333,44.6666666666667
2022-10-02 02:00:00,274.9,0.7,0.0,97.25,200.604546135581,0.844753693308996,780.65,45.0
2022-10-02 03:00:00,277.633333333333,0.4,0.0,77.2666666666667,115.94996916185,2.87070647637685,780.75,45.5
2022-10-02 04:00:00,278.066666666667,0.5,0.0,74.5833333333334,127.656391379234,4.38512505270272,780.95,44.8333333333333
2022-10-02 05:00:00,278.933333333333,0.0,0.0,68.2,121.758152693952,4.75410617010566,781.0,41.5
2022-10-02 06:00:00,279.316666666667,0.0,0.0,66.05,156.739356753069,3.48020937584934,781.316666666667,40.1666666666667
2022-10-02 07:00:00,279.283333333333,0.1,27.5833333333333,69.45,143.132795019546,3.36712737801407,781.65,43.1666666666667
2022-10-02 08:00:00,279.85,0.1,136.0,67.5166666666667,152.064697494691,2.95341476604904,781.9,45.0
2022-10-02 09:00:00,280.75,0.0,408.35,61.9166666666667,104.340387983567,4.41750285729607,782.383333333333,41.1666666666667
2022-10-02 10:00:00,281.833333333333,0.0,546.65,54.0666666666667,84.9549464903133,4.55961643251964,782.216666666667,44.5
2022-10-02 11:00:00,281.333333333333,0.0,525.616666666667,63.8166666666667,86.1827315149391,2.44717775026157,782.166666666667,45.1666666666667
2022-10-02 12:00:00,281.1,0.2,488.7,66.6,150.212576806026,2.02239775327347,782.35,42.5
2022-10-02 13:00:00,281.766666666667,0.0,493.95,58.1166666666667,170.550492879288,1.61500281931087,782.016666666667,47.5
2022-10-02 14:00:00,281.3,0.0,352.75,66.0166666666667,241.40419002791,1.4648407513842,781.716666666667,43.6666666666667
2022-10-02 15:00:00,281.066666666667,0.0,188.816666666667,64.9333333333333,219.881836595424,1.32045225632624,781.383333333333,39.3333333333333
2022-10-02 16:00:00,281.7,0.0,158.05,56.9333333333333,185.017338525821,1.02266927310155,780.983333333333,37.6666666666667
2022-10-02 17:00:00,281.016666666667,0.3,142.616666666667,60.5833333333333,223.867208338677,0.858272799898495,781.116666666667,36.5
2022-10-02 18:00:00,281.116666666667,0.0,17.9,49.7833333333333,173.818982986277,1.92038555262588,780.883333333333,33.6666666666667
2022-10-02 19:00:00,281.033333333333,0.0,0.1,47.0666666666667,121.436454202764,4.01611094428447,780.85,34.0
2022-10-02 20:00:00,280.533333333333,0.0,0.0,49.3333333333333,106.348946185483,4.51806643789887,781.1,35.5
2022-10-02 21:00:00,279.2,0.2,0.0,63.4,64.6967256680703,4.02624905129739,780.933333333333,38.5
2022-10-02 22:00:00,278.633333333333,0.0,0.0,65.25,69.7149205115405,4.24057830603349,780.916666666667,40.3333333333333
2022-10-02 23:00:00,278.55,0.0,0.0,61.6,67.3345449707832,3.95354949467786,781.25,35.3333333333333
2022-10-03 00:00:00,278.4,0.0,0.0,61.6666666666667,59.7648639376785,2.31592175197364,781.133333333333,32.6666666666667
2022-10-03 01:00:00,277.783333333333,0.3,0.0,70.9833333333333,119.948787170534,1.36275329819842,781.05,32.3333333333333
2022-10-03 02:00:00,277.033333333333,0.4,0.0,78.45,102.185520736917,1.26443626470198,781.183333333333,38.0
