date,region_id,n_valid,n_snow,n_cloud,scf,cloud_fraction,tiles_used,source,unc_mean,unc_n_valid,unc_min,unc_max
2022-10-03,,89927,46001,0,0.5115371356767155,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_10_03.tif,10.327554572084187,89927,10.0,30.200000762939453
2022-10-05,,80183,23973,0,0.2989785864834192,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_10_05.tif,10.387116969928904,80183,10.0,30.0
2022-10-08,,35064,1078,0,0.03074378279717089,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_10_08.tif,10.621902806286178,35064,10.0,30.0
2022-10-13,,13648,306,0,0.02242086752637749,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_10_13.tif,11.639991207461005,13648,10.0,31.600000381469727
2022-10-18,,73805,2255,0,0.030553485536210283,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_10_18.tif,10.42738567844864,73805,10.0,30.200000762939453
2022-10-25,,84819,27975,0,0.329819969582287,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_10_25.tif,10.402322592808543,84819,10.0,30.0
2022-10-28,,93604,11478,0,0.1226229648305628,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_10_28.tif,10.28225716854394,93604,10.0,30.200000762939453
2022-10-30,,80660,5308,0,0.0658070914951649,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_10_30.tif,10.321423258014095,80660,10.0,30.399999618530273
2022-11-02,,31633,1913,0,0.06047482059874182,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_11_02.tif,10.15143679119372,31633,10.0,30.0
2022-11-17,,8445,7244,0,0.8577856719952635,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_11_17.tif,10.001113084620311,8445,10.0,19.399999618530273
2022-11-19,,89382,88127,0,0.9859591416616321,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_11_19.tif,10.133787563478727,89382,10.0,30.0
2022-11-24,,21240,20336,0,0.9574387947269303,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_11_24.tif,10.000442561187313,21240,10.0,13.800000190734863
2022-11-27,,65475,65438,0,0.9994348988163421,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_11_27.tif,10.231920580257665,65475,10.0,30.0
2022-12-07,,60970,60961,0,0.9998523864195507,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2022_12_07.tif,10.382853862561612,60970,10.0,30.0
2023-01-01,,108380,108380,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_01_01.tif,10.300813803291778,108380,10.0,30.0
2023-01-18,,79688,79688,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_01_18.tif,10.266544523649385,79688,10.0,30.0
2023-01-21,,19087,19087,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_01_21.tif,10.018861004872427,19087,10.0,30.0
2023-01-26,,55800,55800,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_01_26.tif,10.355555555555556,55800,10.0,30.0
2023-01-28,,99503,99502,0,0.9999899500517573,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_01_28.tif,10.264182989457604,99503,10.0,30.0
2023-01-31,,105480,105480,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_01_31.tif,10.182783466059917,105480,10.0,30.0
2023-02-05,,127904,127904,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_02_05.tif,10.24049286965224,127904,10.0,30.0
2023-02-07,,35358,35358,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_02_07.tif,10.559986424571525,35358,10.0,30.0
2023-02-10,,92543,92543,0,1.0,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_02_10.tif,10.216571755830362,92543,10.0,30.0
2023-02-12,,91848,91838,0,0.9998911244665099,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_02_12.tif,10.201855239090671,91848,10.0,30.0
2023-02-15,,90621,90454,0,0.9981571600401673,0.0,UNKNOWN,s2_fsc_snowflake_rofental_2023_02_15.tif,10.18080135952512,90621,10.0,30.0
