date,value_mean,value_min,value_max,n
2022-10-01,0.0,0.0,0.0,31
2022-10-02,0.6356612315290244,0.3408262454434994,0.8265492102065614,31
2022-10-03,0.04930819582173789,0.0019744835965978,0.2964763061968408,31
2022-10-04,0.38479892603770627,0.1330498177399757,0.472812879708384,31
2022-10-05,0.2987104613334378,0.0091130012150668,0.3909477521263669,31
2022-10-06,0.16176067103045502,0.0021263669501822,0.2726306196840826,31
2022-10-07,0.04037647473836863,0.0,0.0914337788578371,31
2022-10-08,0.0141496491984478,0.0,0.0612089914945322,31
2022-10-09,0.03361031630933245,0.0015188335358444,0.2431652490886998,31
2022-10-10,0.43524869674283695,0.1332017010935601,0.5121506682867558,31
2022-10-11,0.31801924509073803,0.0448055893074119,0.4848116646415553,31
2022-10-12,0.27533512327048953,0.0230862697448359,0.5144289185905225,31
2022-10-13,0.1413544075569317,0.0059234507897934,0.3432563791008505,31
2022-10-14,0.18217673343001606,0.0132138517618469,0.3863912515188335,31
2022-10-15,0.25952945557166934,0.0359963547995139,0.5767010935601458,31
2022-10-16,0.14150629091051617,0.0189854191980558,0.4676488456865127,31
2022-10-17,0.08472641398502719,0.0115431348724179,0.3836573511543135,31
2022-10-18,0.06603006310508362,0.0047083839611178,0.3490279465370595,31
2022-10-19,0.0497981421236232,0.0030376670716889,0.3034629404617254,31
2022-10-20,0.03351722651197425,0.0024301336573511,0.2144592952612393,31
2022-10-21,0.03208658331046913,0.0019744835965978,0.2067132442284325,31
2022-10-22,0.04475659467722333,0.0009113001215066,0.1631227217496962,31
2022-10-23,0.4273311645043703,0.0451093560145808,0.7293438639125152,31
2022-10-24,0.271783012581821,0.0212636695018226,0.5710814094775213,31
2022-10-25,0.36553423744757574,0.0941676792223572,0.6158869987849331,31
2022-10-26,0.39870360208521144,0.3101458080194411,0.4934690157958687,31
2022-10-27,0.21993199545329828,0.1629708383961118,0.2703523693803159,31
2022-10-28,0.18807078744169636,0.1145200486026731,0.2507594167679222,31
2022-10-29,0.13564163367694895,0.0789793438639125,0.1910692588092345,31
2022-10-30,0.10857699996080425,0.0630315917375455,0.1608444714459295,31
2022-10-31,0.05674068122133809,0.0373633049817739,0.0996354799513973,31
2022-11-01,0.003307137537725826,0.0,0.0239975698663426,31
2022-11-02,0.004424215106024332,0.0,0.0159477521263669,31
2022-11-03,9.798926037703225e-06,0.0,0.0003037667071688,31
2022-11-04,0.0015972249441461,0.0,0.0126063183475091,31
2022-11-05,0.0,0.0,0.0,31
2022-11-06,0.05271332261984082,0.0033414337788578,0.1228736330498177,31
2022-11-07,0.15941382824442435,0.0479951397326853,0.3263973268529769,31
2022-11-08,0.15546976051424757,0.0432867557715674,0.2143074119076549,31
2022-11-09,0.26220456237996315,0.0777642770352369,0.4198055893074119,31
2022-11-10,0.2525722180848979,0.0990279465370595,0.3622417982989064,31
2022-11-11,0.3218457257084623,0.1673754556500607,0.4020352369380316,31
2022-11-12,0.368326931368322,0.1517314702308627,0.5224787363304981,31
2022-11-13,0.04351213107043463,0.0047083839611178,0.1155832320777642,31
2022-11-14,0.0,0.0,0.0,31
2022-11-15,0.049940226551169954,0.0036452004860267,0.0905224787363305,31
2022-11-16,0.09311919413632262,0.012910085054678,0.1571992709599028,31
2022-11-17,0.0008182103241484324,0.0,0.0036452004860267,31
2022-11-18,0.0,0.0,0.0,31
2022-11-19,0.0001371849645278645,0.0,0.0009113001215066,31
2022-11-20,0.0,0.0,0.0,31
2022-11-21,0.0,0.0,0.0,31
2022-11-22,0.0,0.0,0.0,31
2022-11-23,0.0,0.0,0.0,31
2022-11-24,0.0,0.0,0.0,31
2022-11-25,0.0005536393211303806,0.0,0.0037970838396111,31
2022-11-26,0.0,0.0,0.0,31
2022-11-27,0.0,0.0,0.0,31
2022-11-28,1.959785207540968e-05,0.0,0.0006075334143377,31
2022-11-29,0.0,0.0,0.0,31
2022-11-30,0.0,0.0,0.0,31
2022-12-01,0.003365931093952061,0.0,0.0124544349939246,31
2022-12-02,0.0,0.0,0.0,31
2022-12-03,0.0008378081762238581,0.0,0.00410085054678,31
2022-12-04,0.0003723591894328226,0.0,0.0033414337788578,31
2022-12-05,0.0014747383686747678,0.0,0.0083535844471445,31
2022-12-06,0.0,0.0,0.0,31
2022-12-07,0.0,0.0,0.0,31
2022-12-08,0.0,0.0,0.0,31
2022-12-09,0.0,0.0,0.0,31
2022-12-10,4.899463018851613e-06,0.0,0.0001518833535844,31
2022-12-11,0.0,0.0,0.0,31
2022-12-12,0.0,0.0,0.0,31
2022-12-13,3.919570415081935e-05,0.0,0.0004556500607533,31
2022-12-14,0.0,0.0,0.0,31
2022-12-15,0.00017638066867869677,0.0,0.0016707168894289,31
2022-12-16,0.0005487398581115323,0.0,0.0036452004860267,31
2022-12-17,4.409516716966774e-05,0.0,0.0006075334143377,31
2022-12-18,0.0016805158154665808,0.0,0.0036452004860267,31
2022-12-19,0.15077607494218628,0.0057715674362089,0.3921628189550425,31
2022-12-20,0.19190706698545837,0.0164034021871202,0.4732685297691373,31
2022-12-21,0.13841472974561983,0.0072904009720534,0.37773390036452,31
2022-12-22,0.02529102810331982,0.0001518833535844,0.1198359659781288,31
2022-12-23,0.08983655391369101,0.0165552855407047,0.2299513973268529,31
2022-12-24,0.08797965742954568,0.0077460510328068,0.2416464155528554,31
2022-12-25,0.05822521851605059,0.0059234507897934,0.1605407047387606,31
2022-12-26,0.0362707247285697,0.0001518833535844,0.1073815309842041,31
2022-12-27,0.014953161133539722,0.0,0.0546780072904009,31
2022-12-28,0.007853839219221516,0.0,0.0217193195625759,31
2022-12-29,0.0008819033433935452,0.0,0.0115431348724179,31
2022-12-30,0.00026457100301805804,0.0,0.0042527339003645,31
2022-12-31,0.03484008152706458,0.0,0.1395808019441069,31
2023-01-01,0.07481969976090617,0.0025820170109356,0.2200789793438639,31
2023-01-02,0.02301767726257196,0.0006075334143377,0.1163426488456865,31
2023-01-03,0.02928409046368512,0.0006075334143377,0.0748784933171324,31
2023-01-04,0.00015188335358441615,0.0,0.0007594167679222,31
2023-01-05,0.0035178144475365002,0.0,0.0321992709599027,31
2023-01-06,0.005119938854701484,0.0,0.015643985419198,31
2023-01-07,0.008289891427899447,0.0,0.017010935601458,31
2023-01-08,9.798926037703225e-06,0.0,0.0001518833535844,31
2023-01-09,0.0,0.0,0.0,31
2023-01-10,0.0,0.0,0.0,31
2023-01-11,0.012851291498451713,0.0004556500607533,0.0259720534629404,31
2023-01-12,4.899463018851613e-06,0.0,0.0001518833535844,31
