date,value_mean,value_min,value_max,n
2022-10-01,0.0,0.0,0.0,31
2022-10-02,0.1691630848492742,0.0,0.6258411843876177,31
2022-10-03,0.12851126644379798,0.000299087782264,0.5440406759383879,31
2022-10-04,0.5095732210306951,0.0853895618363989,0.5592941528338568,31
2022-10-05,0.39873225372291926,0.0186929863915059,0.4792881710782115,31
2022-10-06,0.08683193678634997,0.000149543891132,0.2006879018992074,31
2022-10-07,0.021577736291407926,0.0,0.0925676686107372,31
2022-10-08,0.006039643603139406,0.0,0.038283236129804,31
2022-10-09,0.009768592888464326,0.000149543891132,0.0438163601016898,31
2022-10-10,0.3816938981268421,0.0372364288918797,0.7344100493494841,31
2022-10-11,0.27490026387260785,0.0168984596979213,0.6651712277553462,31
2022-10-12,0.20233770869814804,0.009570809032451,0.5960819500523403,31
2022-10-13,0.15648562207846708,0.0079258262299985,0.5503215193659339,31
2022-10-14,0.13985730618388106,0.0076267384477344,0.5260954090025423,31
2022-10-15,0.14861285980983804,0.0079258262299985,0.5374607447285779,31
2022-10-16,0.11346522139731878,0.0067294751009421,0.4866158217436818,31
2022-10-17,0.07252878719904288,0.0047854045162255,0.4133393150889786,31
2022-10-18,0.048621060603867824,0.003289965604905,0.3442500373859727,31
2022-10-19,0.030714385639927202,0.0023927022581127,0.2622999850456108,31
2022-10-20,0.023415678953385678,0.0020936144758486,0.2113055181695827,31
2022-10-21,0.014660125327428703,0.0011963511290563,0.1416180649020487,31
2022-10-22,0.009001577446851578,0.0004486316733961,0.0722296994167788,31
2022-10-23,0.4770401887147426,0.0725287871990429,0.7596829669508001,31
2022-10-24,0.16258797763595223,0.0046358606250934,0.5178704949902796,31
2022-10-25,0.29834971080141054,0.019291161956034,0.664423508299686,31
2022-10-26,0.2350781728630901,0.1405712576641244,0.3339315088978615,31
2022-10-27,0.18154628383430535,0.1115597427845072,0.2633467922835352,31
2022-10-28,0.13881049894595673,0.085539105727531,0.2087632720203379,31
